Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,28.605000,29.105000,28.605000,28.889999,23.493568,7600
2011-01-04,29.080000,29.100000,28.695000,29.100000,23.664347,6200
2011-01-05,28.965000,29.500000,28.965000,29.500000,23.989630,12400
2011-01-06,29.504999,29.504999,29.315001,29.334999,23.855450,16600
2011-01-07,29.250000,29.750000,29.250000,29.490000,23.981499,6400
2011-01-10,29.455000,29.455000,29.125000,29.334999,23.855450,2400
2011-01-11,29.350000,29.500000,29.350000,29.365000,23.879847,3000
2011-01-12,29.495001,29.500000,28.860001,28.915001,23.513903,5600
2011-01-13,28.895000,29.000000,28.895000,28.940001,23.534231,7600
2011-01-14,28.950001,29.030001,28.950001,29.030001,23.607424,2400
2011-01-18,29.160000,29.555000,29.145000,29.555000,24.034353,6600
2011-01-19,29.625000,29.625000,29.280001,29.424999,23.928638,4800
2011-01-20,29.139999,29.235001,29.110001,29.235001,23.774132,1400
2011-01-21,29.275000,29.405001,29.110001,29.174999,23.725336,3400
2011-01-24,29.129999,29.440001,29.129999,29.375000,23.887983,2000
2011-01-25,29.139999,29.139999,28.900000,28.965000,23.554562,4200
2011-01-26,28.955000,29.045000,28.889999,28.959999,23.550495,6400
2011-01-27,28.930000,28.930000,28.775000,28.799999,23.420382,9400
2011-01-28,28.645000,28.695000,27.955000,27.955000,22.733223,6600
2011-01-31,27.709999,28.375000,27.709999,28.375000,23.074768,5600
2011-02-01,28.750000,29.270000,28.690001,29.270000,23.802593,9600
2011-02-02,29.000000,29.309999,29.000000,29.309999,23.835117,600
2011-02-03,29.100000,29.135000,28.995001,29.135000,23.692808,3400
2011-02-04,29.139999,29.215000,28.625000,28.625000,23.278070,19200
2011-02-07,28.625000,28.665001,28.299999,28.400000,23.095095,7800
2011-02-08,28.330000,28.520000,28.330000,28.520000,23.192684,2200
2011-02-09,28.600000,28.600000,28.040001,28.049999,22.810478,1400
2011-02-10,27.805000,27.805000,27.805000,27.805000,22.611242,400
2011-02-11,27.725000,28.440001,27.725000,28.440001,23.127628,10200
2011-02-14,28.250000,28.250000,28.180000,28.184999,22.920259,4400
2011-02-15,27.995001,28.170000,27.995001,27.995001,22.765753,1200
2011-02-16,28.000000,28.225000,28.000000,28.225000,22.952791,4000
2011-02-17,28.424999,28.650000,28.424999,28.594999,23.253674,3200
2011-02-18,28.645000,29.000000,28.645000,28.809999,23.428514,2200
2011-02-22,28.275000,28.504999,28.040001,28.040001,22.802345,6600
2011-02-23,27.625000,27.805000,27.555000,27.795000,22.603109,3800
2011-02-24,27.700001,27.700001,27.700001,27.700001,22.525856,600
2011-02-25,27.799999,27.990000,27.799999,27.990000,22.761686,800
2011-02-28,28.309999,28.725000,28.309999,28.725000,23.359392,1800
2011-03-01,28.780001,28.780001,28.080000,28.090000,22.843004,10200
2011-03-02,28.145000,28.145000,28.145000,28.145000,22.887732,200
2011-03-03,28.150000,28.420000,28.150000,28.420000,23.111362,7800
2011-03-04,28.420000,28.420000,27.995001,27.995001,22.765753,4600
2011-03-07,27.975000,27.975000,27.719999,27.875000,22.668165,7000
2011-03-08,27.985001,27.985001,27.945000,27.955000,22.733223,1400
2011-03-09,27.735001,27.735001,27.735001,27.735001,22.554316,1800
2011-03-10,27.350000,27.500000,27.184999,27.184999,22.107052,50600
2011-03-11,27.150000,27.570000,27.150000,27.570000,22.420139,39600
2011-03-14,27.570000,27.570000,27.570000,27.570000,22.420139,0
2011-03-15,26.844999,27.275000,26.844999,27.200001,22.119251,4000
2011-03-16,27.135000,27.135000,26.900000,27.094999,22.033863,8000
2011-03-17,27.094999,27.094999,27.094999,27.094999,22.033863,0
2011-03-18,27.445000,27.445000,26.760000,26.760000,21.761440,3400
2011-03-21,26.900000,27.125000,26.900000,27.115000,22.050123,5600
2011-03-22,27.055000,27.125000,27.055000,27.125000,22.058258,2800
2011-03-23,27.299999,27.750000,27.299999,27.750000,22.566517,2800
2011-03-24,28.049999,28.120001,27.940001,28.100000,22.851137,9000
2011-03-25,28.490000,28.490000,28.020000,28.020000,22.786079,5800
2011-03-28,28.150000,28.205000,28.110001,28.110001,22.859268,6400
2011-03-29,28.014999,28.174999,28.014999,28.174999,22.912125,600
2011-03-30,28.325001,28.559999,28.325001,28.555000,23.221148,14000
2011-03-31,28.549999,28.825001,28.549999,28.825001,23.440716,5600
2011-04-01,29.075001,29.430000,29.075001,29.415001,23.920506,3400
2011-04-04,29.325001,29.375000,29.219999,29.254999,23.790390,16800
2011-04-05,28.955000,29.465000,28.955000,29.040001,23.615551,4000
2011-04-06,29.254999,29.605000,29.254999,29.450001,23.948967,6400
2011-04-07,29.450001,29.450001,29.450001,29.450001,23.948967,0
2011-04-08,29.055000,29.115000,29.055000,29.115000,23.676542,1000
2011-04-11,29.290001,29.290001,29.275000,29.275000,23.806654,4800
2011-04-12,29.180000,29.205000,28.950001,29.000000,23.583023,2400
2011-04-13,29.225000,29.260000,28.915001,28.930000,23.526104,8000
2011-04-14,28.910000,29.000000,28.735001,29.000000,23.583023,21200
2011-04-15,28.840000,29.070000,28.840000,29.020000,23.599291,31600
2011-04-18,28.605000,28.605000,28.125000,28.299999,23.013777,6000
2011-04-19,28.280001,28.280001,28.045000,28.045000,22.806412,3600
2011-04-20,26.445000,28.379999,26.445000,28.250000,22.973118,4000
2011-04-21,28.350000,28.350000,28.170000,28.170000,22.908062,7200
2011-04-25,28.080000,28.200001,28.080000,28.120001,22.867403,3400
2011-04-26,28.205000,28.254999,28.195000,28.195000,22.928392,4400
2011-04-27,28.165001,28.305000,28.010000,28.290001,23.005648,6600
