Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,8.640000,9.060000,8.640000,8.960000,8.475581,132900
2011-01-04,8.970000,8.970000,8.740000,8.840000,8.362066,87300
2011-01-05,8.860000,9.060000,8.830000,9.030000,8.541792,103000
2011-01-06,9.070000,9.240000,9.000000,9.220000,8.721522,119400
2011-01-07,9.220000,9.430000,9.070000,9.140000,8.645846,77300
2011-01-10,9.090000,9.210000,8.870000,9.160000,8.664767,49900
2011-01-11,9.210000,9.340000,9.130000,9.300000,8.797199,94200
2011-01-12,9.420000,9.640000,9.300000,9.540000,9.024220,131700
2011-01-13,9.550000,9.640000,9.480000,9.630000,9.109359,76700
2011-01-14,9.630000,9.660000,9.550000,9.660000,9.137735,40000
2011-01-18,9.590000,9.650000,9.400000,9.620000,9.099895,47800
2011-01-19,9.570000,9.570000,8.860000,8.870000,8.390443,74100
2011-01-20,8.800000,8.920000,8.650000,8.770000,8.295854,50700
2011-01-21,8.820000,8.820000,8.090000,8.110000,7.671534,103600
2011-01-24,8.080000,8.430000,7.950000,8.370000,7.917477,131900
2011-01-25,8.340000,8.410000,8.280000,8.350000,7.898558,41500
2011-01-26,8.390000,8.800000,8.390000,8.450000,7.993152,81400
2011-01-27,8.530000,8.530000,8.110000,8.340000,7.889098,50300
2011-01-28,8.330000,8.340000,8.030000,8.050000,7.614779,85800
2011-01-31,8.090000,8.340000,7.970000,8.290000,7.841803,106900
2011-02-01,8.360000,8.600000,8.350000,8.560000,8.097205,52500
2011-02-02,8.500000,8.550000,8.160000,8.210000,7.766129,50300
2011-02-03,8.190000,8.380000,8.000000,8.290000,7.841803,43300
2011-02-04,8.260000,8.350000,8.050000,8.090000,7.652616,39400
2011-02-07,8.080000,8.420000,8.080000,8.150000,7.709371,41200
2011-02-08,8.110000,8.200000,7.940000,8.120000,7.680993,30500
2011-02-09,8.110000,8.170000,8.000000,8.070000,7.633696,30400
2011-02-10,8.010000,8.220000,8.010000,8.210000,7.766129,30800
2011-02-11,8.200000,8.450000,8.200000,8.420000,7.964777,30200
2011-02-14,8.420000,8.420000,8.100000,8.130000,7.690452,40600
2011-02-15,8.080000,8.270000,8.020000,8.040000,7.605317,57500
2011-02-16,8.100000,8.160000,8.030000,8.080000,7.643157,15600
2011-02-17,8.090000,8.230000,8.080000,8.090000,7.652616,30800
