Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,30.469999,31.020000,30.379999,30.809999,24.804279,7238200
2011-01-04,30.799999,30.940001,30.410000,30.629999,24.659361,6537400
2011-01-05,30.709999,31.870001,30.570000,31.690001,25.512745,10791100
2011-01-06,31.549999,31.770000,31.209999,31.440001,25.311474,8410400
2011-01-07,31.530001,31.639999,30.559999,30.760000,24.764023,8927000
2011-01-10,30.639999,31.200001,30.459999,30.700001,24.715717,11261700
2011-01-11,30.879999,31.120001,30.629999,30.690001,24.707670,6827500
2011-01-12,30.950001,31.680000,30.920000,31.660000,25.488592,8323800
2011-01-13,31.580000,32.060001,31.450001,31.639999,25.472485,5781000
2011-01-14,31.530001,32.430000,31.510000,32.369999,26.060188,6890600
2011-01-18,32.369999,32.500000,31.940001,32.020000,25.778412,8169800
2011-01-19,31.840000,32.439999,31.450001,31.480000,25.343674,12081000
2011-01-20,31.510000,31.860001,31.350000,31.629999,25.464434,7556300
2011-01-21,31.959999,32.209999,31.750000,31.950001,25.722057,5669800
2011-01-24,32.169998,32.209999,31.500000,31.639999,25.472485,5178700
2011-01-25,31.610001,31.820000,31.219999,31.670000,25.496641,5700300
2011-01-26,31.730000,32.000000,31.590000,31.709999,25.528837,4939200
2011-01-27,31.580000,31.959999,31.350000,31.620001,25.528837,4825400
2011-01-28,31.760000,31.920000,30.850000,30.879999,24.931387,6701000
2011-01-31,30.910000,31.260000,30.850000,31.230000,25.213964,4258400
2011-02-01,31.400000,32.099998,31.370001,32.090000,25.908304,5153500
2011-02-02,31.930000,32.080002,31.809999,31.840000,25.706463,5515900
2011-02-03,31.750000,31.879999,30.959999,31.459999,25.399660,6671900
2011-02-04,31.389999,31.459999,30.980000,31.000000,25.028275,7300700
2011-02-07,31.230000,31.870001,31.110001,31.840000,25.706463,6468600
2011-02-08,31.840000,32.320000,31.670000,32.200001,25.997108,5922500
2011-02-09,32.099998,32.189999,31.500000,31.690001,25.585354,4739500
2011-02-10,31.570000,31.780001,31.290001,31.709999,25.601500,5568700
2011-02-11,31.580000,32.310001,31.360001,32.150002,25.956749,5379700
2011-02-14,32.080002,32.110001,31.730000,32.029999,25.859858,3353400
2011-02-15,31.740000,31.860001,30.969999,31.049999,25.068644,7126300
2011-02-16,31.200001,31.469999,31.160000,31.240000,25.222042,6093600
2011-02-17,31.170000,31.450001,30.879999,31.200001,25.189749,4306200
2011-02-18,31.270000,31.940001,31.190001,31.690001,25.585354,7769600
2011-02-22,31.240000,31.450001,30.840000,30.910000,24.955616,7864200
2011-02-23,30.889999,31.040001,30.250000,30.389999,24.535786,6338600
2011-02-24,30.340000,30.490000,29.879999,30.129999,24.325871,8625000
2011-02-25,30.320000,30.700001,30.200001,30.629999,24.729548,5114400
2011-02-28,30.760000,30.969999,30.219999,30.389999,24.535786,7405200
2011-03-01,30.549999,30.709999,30.160000,30.160000,24.350088,7768700
2011-03-02,30.100000,30.330000,29.969999,30.030001,24.245132,5211300
2011-03-03,30.299999,30.920000,30.270000,30.860001,24.915249,5334000
2011-03-04,30.760000,30.799999,29.860001,30.059999,24.269348,6708000
2011-03-07,30.049999,30.299999,29.799999,29.850000,24.099810,4823400
2011-03-08,30.000000,30.660000,29.780001,30.590000,24.697256,5967700
2011-03-09,30.469999,30.540001,29.900000,30.129999,24.325871,5733100
2011-03-10,29.809999,29.809999,28.790001,28.809999,23.260145,9874300
2011-03-11,28.830000,29.250000,28.540001,28.959999,23.381250,7702500
2011-03-14,28.709999,28.969999,28.520000,28.790001,23.244001,6947900
2011-03-15,28.309999,28.830000,28.070000,28.750000,23.211704,15488300
2011-03-16,28.709999,28.860001,28.110001,28.200001,22.767658,9809200
2011-03-17,28.590000,28.809999,28.200001,28.780001,23.235929,7215800
2011-03-18,29.000000,29.440001,28.670000,28.879999,23.316668,13116000
2011-03-21,29.170000,29.250000,28.920000,29.070000,23.470062,6733800
2011-03-22,29.110001,29.320000,28.850000,29.139999,23.526577,10096700
2011-03-23,29.080000,29.170000,28.930000,29.030001,23.437773,7653000
2011-03-24,29.190001,29.379999,29.020000,29.260000,23.623459,7422300
2011-03-25,29.360001,29.549999,29.190001,29.450001,23.776861,6683700
2011-03-28,29.559999,29.580000,29.290001,29.299999,23.655754,5362300
2011-03-29,29.280001,29.389999,29.120001,29.330000,23.679976,4845300
2011-03-30,29.490000,29.830000,29.250000,29.670000,23.954483,4834700
2011-03-31,29.510000,29.930000,29.450001,29.870001,24.115948,6677800
2011-04-01,29.930000,30.530001,29.900000,30.270000,24.438900,5548700
2011-04-04,30.260000,30.500000,30.260000,30.410000,24.551933,5786100
2011-04-05,30.410000,30.520000,30.290001,30.400000,24.543856,5185400
2011-04-06,30.450001,30.510000,30.120001,30.290001,24.455048,6949900
2011-04-07,30.270000,30.570000,30.180000,30.420000,24.559998,5090100
2011-04-08,30.580000,30.580000,30.010000,30.219999,24.398529,5106700
2011-04-11,30.270000,30.770000,30.000000,30.139999,24.333942,5984900
2011-04-12,30.030001,30.070000,29.719999,29.959999,24.188618,5853900
2011-04-13,30.150000,30.290001,29.459999,29.629999,23.922188,6909600
2011-04-14,29.639999,29.930000,29.540001,29.790001,24.051363,6168700
2011-04-15,30.000000,30.049999,29.520000,29.719999,23.994854,4853100
2011-04-18,29.290001,29.450001,28.990000,29.200001,23.575018,6982800
2011-04-19,28.620001,29.040001,28.139999,28.350000,22.888765,19049500
2011-04-20,28.670000,28.780001,28.299999,28.540001,23.042158,9438900
2011-04-21,28.600000,28.610001,28.299999,28.400000,22.929125,6208200
2011-04-25,28.480000,28.480000,28.160000,28.330000,22.872608,6005000
2011-04-26,28.410000,28.840000,28.330000,28.700001,23.171339,5000000
2011-04-27,28.650000,28.930000,28.500000,28.889999,23.430872,4466000
2011-04-28,28.600000,28.790001,28.490000,28.580000,23.179443,7059500
2011-04-29,28.570000,28.969999,28.549999,28.959999,23.487640,6700000
2011-05-02,29.139999,29.250000,28.750000,28.809999,23.365984,5748800
2011-05-03,28.809999,28.940001,28.660000,28.940001,23.471424,6413000
2011-05-04,28.870001,29.000000,28.559999,28.750000,23.317324,8344300
2011-05-05,28.520000,28.780001,28.450001,28.549999,23.155115,6792600
2011-05-06,28.799999,28.900000,28.440001,28.590000,23.187551,5221300
2011-05-09,28.549999,28.639999,28.440001,28.570000,23.171335,4388500
2011-05-10,28.719999,28.930000,28.620001,28.860001,23.406534,4302400
2011-05-11,28.709999,28.830000,28.280001,28.340000,22.984797,8585100
2011-05-12,28.309999,28.680000,28.090000,28.490000,23.106453,5849600
2011-05-13,28.469999,28.559999,28.030001,28.070000,22.765816,5646400
2011-05-16,28.049999,28.490000,28.000000,28.120001,22.806370,5821400
2011-05-17,28.010000,28.410000,28.000000,28.410000,23.041569,4968200
2011-05-18,28.370001,28.760000,28.299999,28.719999,23.292997,3536400
2011-05-19,28.799999,28.910000,28.530001,28.700001,23.276775,2878900
2011-05-20,28.580000,28.770000,28.160000,28.190001,22.863144,5741500
2011-05-23,27.889999,28.000000,27.540001,27.809999,22.554945,8110100
2011-05-24,27.830000,27.870001,27.270000,27.490000,22.295418,7131800
2011-05-25,27.400000,27.600000,27.280001,27.389999,22.214308,7434100
2011-05-26,27.280001,27.650000,27.180000,27.469999,22.279194,4965100
2011-05-27,27.620001,27.840000,27.469999,27.719999,22.481953,4269800
2011-05-31,27.879999,28.360001,27.680000,28.110001,22.798264,7855900
2011-06-01,28.030001,28.030001,27.110001,27.129999,22.003441,6772700
2011-06-02,27.110001,27.420000,26.969999,27.330000,22.165648,7820800
2011-06-03,26.830000,27.180000,26.770000,26.900000,21.816912,5889900
2011-06-06,26.870001,26.950001,26.520000,26.590000,21.565487,5484000
2011-06-07,26.610001,26.940001,26.490000,26.549999,21.533047,7497600
2011-06-08,26.510000,26.570000,26.120001,26.219999,21.265396,7855600
2011-06-09,26.320000,26.750000,26.250000,26.559999,21.541153,5325400
2011-06-10,26.389999,26.580000,26.070000,26.270000,21.305956,7386600
2011-06-13,26.850000,26.850000,26.320000,26.660000,21.622253,5250400
2011-06-14,26.850000,27.090000,26.820000,26.920000,21.833126,5932400
2011-06-15,26.730000,26.730000,25.950001,26.020000,21.103195,9248300
2011-06-16,26.020000,26.360001,26.000000,26.230000,21.273504,8435700
2011-06-17,26.480000,26.500000,26.080000,26.200001,21.249182,7886900
2011-06-20,26.080000,26.190001,25.950001,26.059999,21.135637,8872800
2011-06-21,26.260000,26.360001,26.080000,26.320000,21.346504,7132900
2011-06-22,26.110001,26.330000,26.040001,26.040001,21.119415,6837100
2011-06-23,25.760000,25.790001,25.299999,25.440001,20.632792,11618000
2011-06-24,25.420000,25.490000,24.620001,24.639999,19.983961,16087900
2011-06-27,24.700001,25.080000,24.639999,24.650000,19.992071,12829500
2011-06-28,24.799999,24.950001,24.150000,24.480000,19.854197,22112100
2011-06-29,24.809999,25.530001,24.690001,25.440001,20.632792,23450000
2011-06-30,25.490000,25.750000,25.150000,25.620001,20.778778,11386000
2011-07-01,25.510000,26.200001,25.510000,26.059999,21.135637,8251400
2011-07-05,25.930000,26.010000,25.580000,25.700001,20.843662,6648600
2011-07-06,25.590000,26.139999,25.500000,25.950001,21.046425,8612100
2011-07-07,26.219999,26.430000,26.150000,26.389999,21.403275,6191400
2011-07-08,26.000000,26.000000,25.730000,25.799999,20.924765,6747100
2011-07-11,25.469999,25.520000,24.990000,25.070000,20.332703,7937700
2011-07-12,24.950001,25.379999,24.920000,25.100000,20.357031,8620500
2011-07-13,25.260000,25.540001,25.090000,25.160000,20.405703,5316700
2011-07-14,25.350000,25.719999,25.010000,25.090000,20.348928,7577500
2011-07-15,25.170000,25.209999,24.910000,25.100000,20.357031,9810300
2011-07-18,24.920000,24.959999,24.450001,24.639999,19.983961,11519300
2011-07-19,25.110001,25.110001,24.420000,24.730000,20.056950,14867400
2011-07-20,24.799999,25.010000,24.680000,24.940001,20.227270,7616900
2011-07-21,25.160000,25.950001,25.160000,25.870001,20.981541,11380700
2011-07-22,25.910000,25.930000,25.490000,25.760000,20.892323,8095600
2011-07-25,25.629999,25.820000,25.420000,25.700001,20.843662,7349000
