Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,8.310000,8.390000,8.270000,8.350000,8.350000,1811800
2011-01-04,8.360000,8.430000,8.200000,8.320000,8.320000,2143700
2011-01-05,8.310000,8.430000,8.230000,8.320000,8.320000,2500400
2011-01-06,8.350000,8.510000,8.230000,8.440000,8.440000,2389800
2011-01-07,8.450000,8.550000,8.270000,8.420000,8.420000,2049500
2011-01-10,8.400000,8.490000,8.270000,8.480000,8.480000,1747200
2011-01-11,8.540000,8.570000,8.440000,8.460000,8.460000,1331900
2011-01-12,8.540000,8.600000,8.510000,8.600000,8.600000,989200
2011-01-13,8.600000,8.630000,8.490000,8.580000,8.580000,1455500
2011-01-14,8.590000,8.880000,8.580000,8.820000,8.820000,3549700
2011-01-18,8.820000,9.200000,8.820000,9.170000,9.170000,4951300
2011-01-19,9.160000,9.160000,8.860000,8.890000,8.890000,3015900
2011-01-20,8.810000,8.860000,8.510000,8.560000,8.560000,3271200
2011-01-21,8.630000,8.700000,8.460000,8.510000,8.510000,2384900
2011-01-24,8.500000,8.620000,8.420000,8.530000,8.530000,2054800
2011-01-25,8.510000,8.590000,8.380000,8.500000,8.500000,2012900
2011-01-26,8.530000,8.620000,8.400000,8.560000,8.560000,1597500
2011-01-27,8.570000,8.730000,8.530000,8.710000,8.710000,1592300
2011-01-28,8.720000,8.830000,8.450000,8.480000,8.480000,3121600
2011-01-31,8.500000,8.730000,8.460000,8.680000,8.680000,3068300
2011-02-01,8.680000,8.780000,8.630000,8.770000,8.770000,2290500
2011-02-02,8.710000,9.010000,8.640000,8.830000,8.830000,3951600
2011-02-03,9.330000,9.570000,9.200000,9.450000,9.450000,12094400
2011-02-04,9.520000,9.740000,9.450000,9.490000,9.490000,5712100
2011-02-07,9.490000,9.700000,9.380000,9.640000,9.640000,4611600
2011-02-08,9.640000,9.870000,9.630000,9.660000,9.660000,4047900
2011-02-09,9.670000,9.830000,9.600000,9.710000,9.710000,5714500
2011-02-10,9.700000,9.970000,9.560000,9.940000,9.940000,4875500
2011-02-11,9.890000,10.100000,9.860000,10.030000,10.030000,2667100
2011-02-14,10.050000,10.180000,9.980000,10.110000,10.110000,2184200
2011-02-15,10.060000,10.230000,10.060000,10.220000,10.220000,2505500
2011-02-16,10.270000,10.280000,9.880000,10.260000,10.260000,3671100
2011-02-17,10.240000,10.250000,10.090000,10.110000,10.110000,2232100
2011-02-18,10.130000,10.240000,10.090000,10.110000,10.110000,2465200
2011-02-22,10.030000,10.190000,9.730000,9.760000,9.760000,4034200
2011-02-23,9.770000,9.820000,9.470000,9.680000,9.680000,5872200
2011-02-24,9.660000,9.840000,9.490000,9.610000,9.610000,3585200
2011-02-25,9.680000,9.920000,9.680000,9.880000,9.880000,3747000
2011-02-28,9.950000,10.080000,9.820000,9.950000,9.950000,2602000
2011-03-01,10.000000,10.080000,9.700000,9.800000,9.800000,3706300
2011-03-02,9.770000,9.990000,9.750000,9.920000,9.920000,2532300
2011-03-03,10.000000,10.090000,9.890000,9.980000,9.980000,2488600
2011-03-04,10.000000,10.020000,9.790000,9.870000,9.870000,1502100
2011-03-07,9.930000,10.000000,9.350000,9.440000,9.440000,6131800
2011-03-08,9.460000,9.840000,9.430000,9.790000,9.790000,4151000
2011-03-09,9.780000,9.930000,9.710000,9.880000,9.880000,3981200
2011-03-10,9.810000,9.860000,9.560000,9.580000,9.580000,4249300
2011-03-11,9.390000,9.590000,9.370000,9.480000,9.480000,2084900
2011-03-14,9.400000,9.640000,9.370000,9.610000,9.610000,2875700
2011-03-15,9.160000,9.510000,9.140000,9.440000,9.440000,3607900
2011-03-16,9.400000,9.580000,9.320000,9.330000,9.330000,3313000
2011-03-17,9.480000,9.560000,9.380000,9.430000,9.430000,1865800
2011-03-18,9.550000,9.660000,9.420000,9.560000,9.560000,2723000
2011-03-21,9.650000,9.800000,9.600000,9.790000,9.790000,2607300
2011-03-22,9.760000,9.780000,9.500000,9.570000,9.570000,3011900
2011-03-23,9.590000,9.700000,9.470000,9.590000,9.590000,1867900
2011-03-24,9.640000,9.830000,9.600000,9.790000,9.790000,1832400
2011-03-25,9.800000,9.990000,9.740000,9.850000,9.850000,2353000
2011-03-28,9.850000,9.900000,9.760000,9.810000,9.810000,1661700
2011-03-29,9.750000,9.960000,9.740000,9.800000,9.800000,2516700
2011-03-30,9.830000,9.860000,9.710000,9.760000,9.760000,1689300
