Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,17.852545,17.969572,17.823288,17.911058,17.421556,10254
2011-01-04,17.881802,18.069046,17.641895,17.671152,17.188210,54517
2011-01-05,17.536572,17.782330,17.495611,17.565828,17.085764,52637
2011-01-06,17.565828,17.688707,17.419544,17.483910,17.006079,24610
2011-01-07,17.483910,17.507315,17.325922,17.507315,17.028841,22217
2011-01-10,17.337624,17.361031,17.179638,17.185490,16.715818,11108
2011-01-11,17.220596,17.747221,17.144529,17.747221,17.262197,54859
2011-01-12,17.758923,17.829140,17.647747,17.788179,17.302034,16577
2011-01-13,17.817436,17.840843,17.589233,17.764774,17.279270,15210
2011-01-14,17.911058,17.911058,17.706261,17.735518,17.250816,37427
2011-01-18,17.641895,17.817436,17.641895,17.712112,17.228046,12988
2011-01-19,17.717964,17.770626,17.559977,17.770626,17.284964,14356
2011-01-20,17.717964,17.758923,17.261557,17.267408,16.795502,18628
2011-01-21,17.466354,17.536572,16.822702,17.366880,16.892254,65113
2011-01-24,17.466354,17.565828,17.460503,17.501463,17.023151,10596
2011-01-25,17.466354,17.519016,17.009947,17.062611,16.596294,18286
2011-01-26,17.039204,17.121122,16.974838,17.050907,16.584909,22388
2011-01-27,17.039204,17.173786,16.974838,16.992393,16.528002,16406
2011-01-28,17.050907,17.091867,16.968988,16.998245,16.533691,21875
2011-01-31,16.676418,17.009947,16.676418,16.676418,16.220657,17090
2011-02-01,16.770041,17.062611,16.535986,16.957285,16.493849,41016
2011-02-02,16.939732,17.103569,16.939732,17.021650,16.556452,10938
2011-02-03,16.963137,16.992393,16.887068,16.887068,16.425550,9058
2011-02-04,16.957285,17.284962,16.857813,17.261557,16.789803,20166
2011-02-07,17.442949,17.483910,17.214745,17.261557,16.789803,11963
2011-02-08,17.296665,17.355179,17.086016,17.167934,16.698744,175002
2011-02-09,17.144529,17.144529,16.992393,17.144529,16.675976,14697
2011-02-10,17.138678,17.138678,16.974838,16.992393,16.528002,18457
