Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,17.410000,17.719999,17.330000,17.549999,15.494324,2601500
2011-01-04,17.590000,17.870001,17.309999,17.860001,15.768015,3691000
2011-01-05,17.690001,18.330000,17.559999,18.240000,16.103500,5219900
2011-01-06,18.299999,18.420000,17.830000,17.969999,15.865128,2726900
2011-01-07,18.049999,18.190001,17.530001,17.820000,15.732696,3114400
2011-01-10,17.590000,18.610001,17.520000,18.440001,16.280077,4914700
2011-01-11,18.570000,18.719999,18.250000,18.270000,16.129986,3124600
2011-01-12,18.299999,18.500000,17.750000,18.500000,16.333048,4562000
2011-01-13,18.510000,18.639999,18.170000,18.309999,16.165308,1792900
2011-01-14,18.299999,18.719999,18.270000,18.719999,16.527277,2216800
2011-01-18,18.660000,18.900000,18.530001,18.879999,16.668539,1314000
2011-01-19,18.930000,18.930000,17.870001,18.000000,15.891614,4204400
2011-01-20,17.990000,17.990000,17.240000,17.370001,15.335409,2756800
2011-01-21,17.520000,17.730000,16.990000,17.030001,15.035234,2584500
2011-01-24,17.090000,18.049999,16.980000,17.910000,15.812151,2629400
2011-01-25,17.830000,17.920000,17.600000,17.860001,15.768015,2559900
2011-01-26,18.000000,18.459999,17.879999,18.190001,16.059364,2738300
2011-01-27,18.280001,18.920000,18.280001,18.799999,16.597900,2366000
2011-01-28,18.709999,18.709999,17.320000,17.500000,15.450186,5675800
2011-01-31,17.549999,17.930000,17.420000,17.920000,15.820983,2969700
2011-02-01,18.049999,18.490000,17.879999,18.370001,16.218275,2893400
2011-02-02,18.209999,18.230000,17.120001,17.170000,15.158834,6327700
2011-02-03,17.049999,17.250000,16.770000,17.139999,15.132344,3861600
2011-02-04,17.260000,17.309999,16.910000,17.049999,15.052891,1502200
2011-02-07,17.129999,17.520000,17.030001,17.360001,15.326585,1970800
2011-02-08,17.389999,17.530001,17.139999,17.309999,15.282433,2251200
2011-02-09,17.360001,17.440001,17.070000,17.280001,15.255946,1447300
2011-02-10,17.070000,18.410000,17.010000,18.240000,16.103500,3106800
2011-02-11,18.129999,18.590000,18.110001,18.540001,16.368366,2263900
2011-02-14,18.580000,18.750000,18.330000,18.660000,16.474308,2051300
2011-02-15,18.629999,18.660000,17.930000,18.240000,16.103500,2255800
2011-02-16,18.330000,18.520000,18.240000,18.450001,16.288902,2071400
2011-02-17,18.320000,18.910000,18.150000,18.730000,16.536106,2644100
2011-02-18,18.730000,18.860001,18.350000,18.549999,16.377193,2326700
2011-02-22,18.209999,18.440001,17.590000,17.690001,15.617931,3175500
2011-02-23,18.190001,18.520000,17.180000,17.799999,15.715040,6665700
2011-02-24,17.799999,18.910000,17.740000,18.490000,16.324215,5783100
2011-02-25,18.520000,19.020000,18.370001,18.990000,16.765654,2474100
2011-02-28,19.180000,19.350000,18.620001,18.879999,16.668539,2377300
2011-03-01,19.049999,19.049999,18.120001,18.299999,16.156477,2220000
2011-03-02,18.200001,18.719999,18.100000,18.480000,16.315392,1808500
2011-03-03,18.790001,19.070000,18.760000,18.860001,16.650883,2711800
2011-03-04,18.940001,18.969999,18.459999,18.750000,16.553768,1510900
2011-03-07,18.910000,18.980000,17.940001,18.299999,16.156477,1696500
2011-03-08,18.230000,18.700001,18.000000,18.459999,16.297731,2315600
2011-03-09,18.469999,18.480000,18.120001,18.160000,16.032873,1489100
2011-03-10,17.840000,18.010000,17.340000,17.370001,15.335409,3482900
2011-03-11,17.240000,17.709999,16.920000,17.520000,15.467839,1848600
2011-03-14,17.290001,17.660000,17.120001,17.469999,15.423700,1802000
2011-03-15,16.570000,17.340000,16.299999,17.150000,15.141173,4092100
2011-03-16,17.010000,17.540001,16.420000,16.590000,14.646771,2994900
2011-03-17,17.040001,17.100000,16.340000,16.340000,14.426053,3203000
2011-03-18,16.700001,17.010000,16.520000,16.750000,14.788033,3648100
2011-03-21,17.120001,17.410000,16.959999,17.160000,15.150007,3561400
2011-03-22,17.200001,17.340000,16.799999,16.969999,14.982260,2013300
2011-03-23,16.900000,17.120001,16.490000,16.959999,14.973430,2628700
2011-03-24,17.180000,17.350000,16.910000,17.200001,15.185321,1305100
2011-03-25,17.290001,17.629999,17.120001,17.350000,15.317755,1646300
2011-03-28,17.379999,17.490000,17.250000,17.320000,15.291260,2065200
2011-03-29,17.240000,17.469999,17.030001,17.219999,15.202979,2181400
2011-03-30,17.530001,18.090000,17.430000,17.809999,15.723870,2742600
2011-03-31,17.700001,17.730000,17.240000,17.389999,15.353064,2478000
2011-04-01,17.850000,18.260000,17.430000,17.490000,15.441355,2776200
2011-04-04,17.570000,17.809999,17.400000,17.480000,15.432525,2001400
2011-04-05,17.510000,18.270000,17.480000,18.170000,16.041698,2894900
2011-04-06,18.330000,18.350000,17.930000,18.120001,15.997559,2240200
2011-04-07,18.120001,18.230000,17.889999,17.980000,15.873959,1604300
2011-04-08,18.150000,18.180000,17.469999,17.570000,15.511980,2853100
2011-04-11,17.559999,17.559999,17.040001,17.280001,15.255946,2485700
2011-04-12,17.110001,17.309999,16.430000,17.100000,15.097030,3430200
2011-04-13,17.250000,17.480000,16.840000,17.240000,15.220637,2429600
2011-04-14,17.030001,17.150000,16.680000,16.980000,14.991090,2199500
2011-04-15,16.969999,17.110001,16.750000,17.049999,15.052891,1940400
2011-04-18,16.629999,16.750000,16.360001,16.590000,14.646771,2569500
2011-04-19,16.680000,16.920000,16.570000,16.770000,14.805692,2609000
2011-04-20,17.260000,17.830000,17.260000,17.820000,15.732696,2845200
2011-04-21,18.000000,18.379999,17.660000,18.330000,16.182961,1954000
2011-04-25,18.290001,18.379999,17.969999,18.330000,16.182961,1904800
2011-04-26,18.500000,18.959999,18.440001,18.500000,16.333048,3900000
2011-04-27,18.820000,18.850000,18.150000,18.570000,16.394844,3492500
2011-04-28,18.570000,18.629999,18.139999,18.260000,16.121162,1997200
2011-04-29,18.350000,18.620001,18.150000,18.170000,16.041698,1767000
2011-05-02,18.320000,18.420000,17.700001,17.740000,15.662070,2219600
2011-05-03,17.639999,17.670000,17.139999,17.469999,15.423700,4116600
2011-05-04,17.480000,18.040001,17.440001,17.750000,15.670896,3896500
2011-05-05,17.549999,18.049999,17.400000,17.879999,15.785673,3290100
2011-05-06,18.120001,18.480000,17.930000,18.209999,16.077015,2836300
2011-05-09,18.080000,18.320000,18.059999,18.110001,15.988728,1844200
2011-05-10,18.190001,18.490000,18.120001,18.480000,16.315392,3938600
2011-05-11,18.440001,18.540001,17.959999,18.160000,16.032873,1617400
2011-05-12,18.010000,18.160000,17.590000,17.850000,15.759184,1281100
2011-05-13,17.889999,17.980000,17.320000,17.570000,15.511980,2937000
2011-05-16,17.490000,17.969999,17.200001,17.240000,15.220637,2027400
2011-05-17,17.080000,17.469999,17.000000,17.200001,15.185321,2499800
2011-05-18,17.200001,17.559999,17.129999,17.530001,15.476668,2104700
2011-05-19,17.700001,17.840000,17.440001,17.809999,15.723870,1976100
2011-05-20,17.680000,17.700001,17.200001,17.420000,15.379554,1667000
2011-05-23,17.080000,17.420000,16.990000,17.250000,15.229464,1900400
2011-05-24,17.280001,17.400000,16.910000,16.920000,14.938115,1662000
2011-05-25,16.820000,17.370001,16.820000,17.320000,15.291260,2039200
2011-05-26,17.280001,17.629999,17.100000,17.549999,15.494324,1629200
2011-05-27,17.610001,18.100000,17.610001,18.020000,15.909276,2181400
2011-05-31,18.430000,18.430000,18.049999,18.120001,15.997559,3426800
2011-06-01,18.090000,18.170000,17.219999,17.240000,15.220637,2351700
2011-06-02,17.200001,17.480000,17.030001,17.170000,15.158834,1805700
2011-06-03,16.809999,17.180000,16.709999,17.150000,15.141173,2075700
2011-06-06,17.120001,17.350000,16.740000,16.870001,14.893975,2175900
2011-06-07,17.000000,17.150000,16.809999,17.059999,15.061722,1754600
2011-06-08,17.030001,17.290001,16.750000,16.809999,14.841000,3442500
2011-06-09,16.850000,17.270000,16.780001,16.959999,14.973430,1493800
2011-06-10,16.840000,16.910000,16.180000,16.600000,14.655599,2107300
