Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,21.219999,21.379999,21.190001,21.280001,11.279643,933600
2011-01-04,21.410000,21.410000,21.160000,21.320000,11.300844,1023800
2011-01-05,20.980000,21.160000,20.930000,21.110001,11.189533,842300
2011-01-06,21.260000,21.270000,20.910000,20.990000,11.125927,888500
2011-01-07,20.870001,20.889999,20.530001,20.639999,10.940405,1237100
2011-01-10,20.309999,20.469999,20.209999,20.430000,10.829094,1019900
2011-01-11,20.280001,20.430000,20.170000,20.430000,10.829094,1369300
2011-01-12,20.650000,20.940001,20.580000,20.920000,11.088823,1123700
2011-01-13,21.209999,21.320000,21.090000,21.170000,11.221337,714500
2011-01-14,21.080000,21.280001,21.059999,21.240000,11.258445,640400
2011-01-18,21.040001,21.150000,21.010000,21.120001,11.194834,922300
2011-01-19,21.160000,21.209999,21.049999,21.150000,11.210736,873700
2011-01-20,21.100000,21.320000,21.010000,21.260000,11.269044,1210800
2011-01-21,22.049999,22.150000,21.900000,21.959999,11.640082,1285500
2011-01-24,22.059999,22.340000,22.030001,22.320000,11.830904,1205500
2011-01-25,22.209999,22.360001,22.090000,22.350000,11.846807,825400
2011-01-26,22.320000,22.360001,22.059999,22.129999,11.730192,754700
2011-01-27,22.190001,22.299999,22.120001,22.240000,11.788499,943500
2011-01-28,22.010000,22.059999,21.480000,21.530001,11.412159,931600
2011-01-31,21.930000,22.040001,21.830000,21.950001,11.634784,728600
2011-02-01,22.160000,22.420000,22.139999,22.350000,11.846807,734200
2011-02-02,22.570000,22.719999,22.530001,22.620001,11.989923,910000
2011-02-03,22.459999,22.520000,22.320000,22.490000,11.921013,794900
2011-02-04,22.389999,22.420000,22.190001,22.420000,11.883910,677100
2011-02-07,22.250000,22.450001,22.209999,22.410000,11.878610,395400
2011-02-08,22.360001,22.530001,22.309999,22.510000,11.931615,512900
2011-02-09,22.430000,22.510000,22.320000,22.500000,11.926313,626600
2011-02-10,22.090000,22.219999,22.010000,22.190001,11.761996,653600
2011-02-11,21.980000,22.170000,21.959999,22.120001,11.724892,559400
2011-02-14,21.790001,21.889999,21.700001,21.850000,11.581778,709300
2011-02-15,21.770000,21.870001,21.660000,21.799999,11.555273,716700
2011-02-16,21.840000,22.230000,21.799999,22.160000,11.746095,780300
2011-02-17,22.090000,22.129999,21.959999,22.110001,11.719591,927200
2011-02-18,22.350000,22.650000,22.309999,22.549999,11.952817,827100
2011-02-22,22.410000,22.420000,22.110001,22.200001,11.767295,1251700
2011-02-23,22.250000,22.469999,22.100000,22.180000,11.756697,916300
2011-02-24,21.860001,22.020000,21.840000,21.969999,11.645386,996700
2011-02-25,21.940001,22.120001,21.910000,22.100000,11.714288,760600
2011-02-28,22.170000,22.330000,22.110001,22.209999,11.772598,828900
2011-03-01,22.160000,22.200001,21.780001,21.830000,11.571176,1485300
2011-03-02,21.950001,22.150000,21.920000,22.010000,11.666583,1152500
2011-03-03,21.959999,22.049999,21.830000,22.030001,11.677187,1490600
2011-03-04,22.160000,22.170000,21.830000,21.980000,11.650688,839800
2011-03-07,21.980000,22.040001,21.680000,21.740000,11.523472,1174800
2011-03-08,21.760000,21.870001,21.660000,21.809999,11.560574,557300
2011-03-09,21.760000,21.840000,21.680000,21.780001,11.544674,750500
2011-03-10,21.520000,21.590000,21.360001,21.459999,11.375054,956600
2011-03-11,21.480000,21.600000,21.440001,21.549999,11.422758,675900
2011-03-14,21.379999,21.410000,21.230000,21.379999,11.332645,754300
2011-03-15,20.530001,20.940001,20.469999,20.879999,11.067617,1335600
2011-03-16,20.740000,20.920000,20.200001,20.309999,10.765485,2078600
2011-03-17,20.930000,21.100000,20.809999,20.959999,11.110025,1058000
2011-03-18,21.410000,21.410000,21.190001,21.290001,11.284944,901900
2011-03-21,21.870001,22.120001,21.799999,22.080000,11.703691,1149700
2011-03-22,22.110001,22.150000,22.010000,22.090000,11.708990,654000
2011-03-23,21.940001,22.080000,21.840000,22.040001,11.682489,593900
2011-03-24,22.139999,22.309999,22.059999,22.250000,11.793798,619200
2011-03-25,22.200001,22.230000,22.030001,22.090000,11.708990,457600
2011-03-28,22.100000,22.139999,22.040001,22.040001,11.682489,351900
2011-03-29,21.990000,22.150000,21.889999,22.139999,11.735495,318800
2011-03-30,22.250000,22.490000,22.219999,22.420000,11.883910,757000
2011-03-31,22.440001,22.580000,22.379999,22.510000,11.931615,581800
2011-04-01,22.250000,22.559999,22.190001,22.520000,11.936916,1064800
2011-04-04,22.650000,22.719999,22.549999,22.580000,11.968720,672700
2011-04-05,22.469999,22.600000,22.420000,22.530001,11.942219,471100
2011-04-06,22.620001,22.809999,22.530001,22.730000,12.048227,390100
2011-04-07,22.650000,22.799999,22.530001,22.670000,12.016422,678100
2011-04-08,22.870001,22.910000,22.740000,22.860001,12.117135,512300
2011-04-11,22.980000,23.090000,22.809999,22.900000,12.138339,463000
2011-04-12,22.750000,22.809999,22.590000,22.690001,12.027024,645200
2011-04-13,22.780001,22.820000,22.570000,22.610001,11.984620,685500
2011-04-14,22.530001,22.790001,22.480000,22.719999,12.042928,498700
2011-04-15,22.450001,22.639999,22.430000,22.590000,11.974020,568800
2011-04-18,22.070000,22.139999,21.750000,22.030001,11.677187,877000
2011-04-19,21.930000,22.040001,21.889999,22.010000,11.666583,554600
2011-04-20,22.590000,22.740000,22.580000,22.660000,12.011125,569800
2011-04-21,22.450001,22.500000,22.340000,22.440001,11.894511,423800
2011-04-25,22.500000,22.570000,22.410000,22.500000,11.926313,249900
2011-04-26,22.629999,22.750000,22.559999,22.719999,12.042928,398800
2011-04-27,22.980000,23.350000,22.940001,23.320000,12.360966,663100
2011-04-28,23.379999,23.549999,23.379999,23.540001,12.477574,565500
2011-04-29,23.540001,23.620001,23.430000,23.440001,12.424571,577000
2011-05-02,23.559999,23.700001,23.469999,23.480000,12.445773,482900
2011-05-03,23.420000,23.530001,23.309999,23.410000,12.408669,460800
2011-05-04,23.549999,23.570000,23.260000,23.290001,12.345060,690500
2011-05-05,23.020000,23.049999,22.620001,22.730000,12.048227,1274600
2011-05-06,22.889999,22.950001,22.350000,22.420000,11.883910,1176500
