Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,94.646889,94.991791,93.746307,93.890022,64.555992,3737443
2011-01-04,94.254082,94.369049,90.335609,92.606216,63.673290,6741739
2011-01-05,92.184669,93.497215,91.360741,92.951118,63.910416,3755083
2011-01-06,93.200218,93.478050,91.830185,92.414604,63.541534,3938056
2011-01-07,92.567894,93.085251,91.571510,92.155930,63.363670,3974797
2011-01-10,91.609833,92.357124,91.063736,91.772705,63.100204,4006111
2011-01-11,92.309219,93.152313,91.676895,92.855316,63.844555,4221337
2011-01-12,93.890022,94.110374,92.960701,93.410988,64.226624,4926824
2011-01-13,93.688828,93.746307,91.696060,92.376282,63.515186,4724958
2011-01-14,92.203835,93.382248,91.858932,93.238541,64.108063,3696318
2011-01-18,93.075668,94.618149,92.931961,94.416954,64.918289,3304381
2011-01-19,94.627724,94.838501,93.717567,94.148697,64.733826,3373792
2011-01-20,93.296021,93.784630,91.906830,92.366699,63.508579,4757837
2011-01-21,93.535538,94.206177,92.596634,93.861275,64.536224,4215909
2011-01-24,93.506798,93.890022,92.788246,93.104408,64.015816,3871777
2011-01-25,93.037346,93.200218,91.782288,93.075668,63.996071,4159650
2011-01-26,91.925995,93.171471,90.076935,92.874474,63.857716,10221892
2011-01-27,93.257698,94.081635,91.628998,92.903214,63.877480,5528560
2011-01-28,92.644539,93.104408,89.770355,89.875740,61.795898,9878281
2011-01-31,90.115257,92.644539,89.339226,92.625381,63.686466,6668466
2011-02-01,93.688828,95.566628,93.430153,94.781013,65.168610,7012494
2011-02-02,94.589401,94.982208,94.062469,94.522339,64.990746,3966969
2011-02-03,94.397789,94.397789,92.088867,94.062469,64.674561,3976572
2011-02-04,94.340309,94.426537,92.912796,93.420570,64.233200,3534638
2011-02-07,93.497215,93.957085,92.970284,93.449310,64.252975,3327553
2011-02-08,93.727150,94.100792,92.797829,93.660088,64.397903,3018178
2011-02-09,93.181053,94.321144,92.232574,93.171471,64.061943,4609725
2011-02-10,93.142731,94.819336,92.510414,94.781013,65.168610,4142845
2011-02-11,94.349892,96.764206,93.650505,95.557045,65.702187,4392620
2011-02-14,95.672012,97.128265,95.327110,97.003716,66.696869,3303129
2011-02-15,96.898331,100.586868,96.448044,98.747391,67.895790,7664540
2011-02-16,99.264748,100.912605,98.661163,100.615608,69.180298,4518708
2011-02-17,99.791679,101.794029,99.753357,101.410805,69.727058,3426711
2011-02-18,102.608376,103.049088,100.855125,102.867058,70.728340,5283899
2011-02-22,100.031197,102.292221,97.329460,97.856392,67.283142,9251912
2011-02-23,98.249199,100.586868,98.249199,98.642006,67.823311,7604836
2011-02-24,99.580902,100.021614,97.243233,97.492332,67.032822,5443701
2011-02-25,98.095909,98.958160,97.396523,98.776131,67.915520,3023397
2011-02-28,98.986908,99.609650,96.994141,97.693520,67.171150,5526055
2011-03-01,99.753357,100.098259,95.863625,96.016914,66.018379,4396795
2011-03-02,96.256432,97.080360,95.279205,96.563011,66.393867,4039616
2011-03-03,97.444427,99.216843,96.965393,99.073128,68.119751,4338970
2011-03-04,98.785713,99.427612,97.406105,98.824036,67.948441,4407442
2011-03-07,99.571320,101.382057,99.025230,99.188103,68.198792,4506496
2011-03-08,99.312645,99.312645,96.467201,96.687561,66.776192,4925780
2011-03-09,96.974976,98.345001,96.476784,96.639656,66.743095,3910292
2011-03-10,95.739075,95.748657,92.740341,93.343925,64.466965,4434580
2011-03-11,92.567894,95.001373,92.270897,94.608566,65.340340,3615008
2011-03-14,93.775055,95.288788,93.085251,94.867241,65.519005,3782117
2011-03-15,92.088867,94.627724,91.054153,93.861275,64.824249,4656904
2011-03-16,93.545120,94.560661,90.757156,91.906830,63.474442,5561543
2011-03-17,93.554695,94.560661,92.807411,93.755890,64.751457,4513385
2011-03-18,95.001373,96.965393,93.458893,94.206177,65.062462,5791800
2011-03-21,95.403755,97.281555,95.202560,96.745041,66.815903,4609725
2011-03-22,96.294754,97.377365,95.662430,95.959435,66.273293,3632022
2011-03-23,95.978592,96.505524,95.231308,95.901947,66.233597,2628955
