Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,36.270000,36.299999,36.000000,36.250000,24.451330,1882000
2011-01-04,36.419998,36.689999,36.049999,36.509998,24.626705,3294500
2011-01-05,36.250000,36.349998,35.910000,35.959999,24.255713,4131600
2011-01-06,36.049999,36.189999,35.639999,36.139999,24.377142,3570500
2011-01-07,36.230000,36.279999,35.709999,36.000000,24.282707,2727900
2011-01-10,35.930000,35.950001,35.580002,35.759998,24.120817,2609500
2011-01-11,35.840000,36.000000,35.750000,35.919998,24.228745,3502800
2011-01-12,36.150002,36.230000,35.810001,35.950001,24.248980,2833400
2011-01-13,35.980000,35.980000,35.450001,35.669998,24.060106,4346400
2011-01-14,35.240002,35.740002,35.189999,35.450001,23.911715,4193100
2011-01-18,35.439999,36.279999,35.419998,36.209999,24.424349,4057800
2011-01-19,36.250000,36.349998,35.830002,35.950001,24.248980,2861700
2011-01-20,35.970001,36.520000,35.910000,36.470001,24.599722,3076100
2011-01-21,36.610001,36.709999,36.150002,36.439999,24.579491,2268600
2011-01-24,36.439999,36.790001,36.360001,36.750000,24.788589,4856900
2011-01-25,36.759998,36.799999,36.290001,36.660000,24.727882,2052800
2011-01-26,36.660000,36.730000,36.200001,36.410000,24.559258,2304200
2011-01-27,36.549999,36.919998,36.389999,36.689999,24.748116,3062000
2011-01-28,36.660000,36.680000,35.770000,35.860001,24.188272,3901700
2011-01-31,35.939999,36.040001,35.509998,35.680000,24.066853,3239100
2011-02-01,35.939999,36.009998,35.450001,35.950001,24.248980,3288500
2011-02-02,35.770000,35.900002,35.630001,35.689999,24.073606,2241500
2011-02-03,35.669998,35.880001,35.419998,35.820000,24.161282,2939900
2011-02-04,35.779999,35.840000,35.250000,35.619999,24.026381,2307900
2011-02-07,35.790001,36.070000,35.680000,36.040001,24.309679,3161500
2011-02-08,35.590000,35.840000,35.290001,35.830002,24.480492,3399400
2011-02-09,35.660000,35.840000,35.590000,35.740002,24.419003,2759900
2011-02-10,35.660000,35.810001,35.459999,35.610001,24.330183,2686900
2011-02-11,35.540001,35.860001,35.500000,35.860001,24.500994,1890400
2011-02-14,35.720001,35.810001,35.330002,35.520000,24.268688,1823600
2011-02-15,35.459999,36.000000,35.360001,35.830002,24.480492,3134000
2011-02-16,35.860001,35.900002,35.630001,35.770000,24.439501,2165500
2011-02-17,35.770000,35.860001,35.630001,35.849998,24.494152,2452600
2011-02-18,35.900002,35.900002,35.630001,35.759998,24.432667,3611000
2011-02-22,35.520000,35.689999,35.470001,35.610001,24.330183,2537700
2011-02-23,35.369999,35.680000,35.099998,35.380001,24.173038,2938000
2011-02-24,35.310001,35.450001,34.959999,35.110001,23.988562,2936400
2011-02-25,35.220001,35.349998,35.020000,35.279999,24.104713,1499200
2011-02-28,35.389999,35.849998,35.389999,35.779999,24.446335,2741100
2011-03-01,35.880001,35.880001,35.299999,35.299999,24.118374,2594200
2011-03-02,35.340000,35.680000,35.279999,35.590000,24.316515,2323500
2011-03-03,35.730000,35.980000,35.720001,35.959999,24.569305,1719400
2011-03-04,35.840000,35.919998,35.180000,35.330002,24.138870,3231300
2011-03-07,35.480000,35.799999,35.419998,35.610001,24.330183,2490800
2011-03-08,35.730000,36.049999,35.610001,35.980000,24.582975,2121100
2011-03-09,35.990002,36.369999,35.660000,36.299999,24.801613,3274300
2011-03-10,36.189999,36.189999,35.709999,35.750000,24.425837,2691400
2011-03-11,35.860001,35.939999,35.660000,35.810001,24.466829,2534300
2011-03-14,35.630001,35.639999,35.119999,35.340000,24.145704,6086300
2011-03-15,34.950001,35.119999,34.750000,34.919998,23.858742,3528400
2011-03-16,34.849998,34.900002,34.150002,34.259998,23.407810,6060400
2011-03-17,34.599998,34.619999,33.470001,33.599998,22.956869,10061400
2011-03-18,33.880001,33.990002,33.619999,33.810001,23.100348,7615500
2011-03-21,34.130001,34.220001,33.820000,34.060001,23.271158,5441600
2011-03-22,34.150002,34.360001,34.009998,34.160000,23.339487,5757600
2011-03-23,34.049999,34.650002,34.049999,34.500000,23.571789,4964700
2011-03-24,34.669998,34.919998,34.560001,34.810001,23.783585,3220600
2011-03-25,34.919998,34.959999,34.650002,34.709999,23.715263,2032400
2011-03-28,34.750000,34.919998,34.689999,34.689999,23.701605,2671800
2011-03-29,34.810001,35.220001,34.619999,35.099998,23.981730,3634600
2011-03-30,35.220001,35.580002,35.139999,35.500000,24.255028,2972300
2011-03-31,35.419998,35.540001,35.099998,35.139999,24.009054,3466900
2011-04-01,35.220001,35.599998,35.220001,35.520000,24.268688,2388200
2011-04-04,35.599998,35.599998,35.220001,35.450001,24.220860,2248200
2011-04-05,35.330002,35.500000,35.279999,35.299999,24.118374,1562300
2011-04-06,35.400002,35.619999,35.349998,35.570000,24.302849,2505000
2011-04-07,35.500000,35.520000,35.320000,35.470001,24.234526,1757500
2011-04-08,35.639999,35.639999,35.150002,35.310001,24.125210,2291500
2011-04-11,35.250000,35.369999,34.689999,34.779999,23.763094,4095600
2011-04-12,34.750000,34.939999,34.369999,34.590000,23.633274,4659500
2011-04-13,34.830002,35.110001,34.720001,34.919998,23.858742,3957700
2011-04-14,34.930000,35.209999,34.750000,35.169998,24.029556,2410100
2011-04-15,35.230000,35.570000,35.119999,35.459999,24.227692,3941400
2011-04-18,35.200001,35.450001,34.959999,35.310001,24.125210,2887900
2011-04-19,35.310001,35.389999,34.860001,35.130001,24.002230,2983600
2011-04-20,35.500000,35.610001,35.259998,35.529999,24.275522,3353800
2011-04-21,35.560001,35.610001,35.320000,35.490002,24.248192,2190600
2011-04-25,35.700001,35.700001,35.279999,35.590000,24.316515,1694600
2011-04-26,35.820000,35.950001,35.630001,35.880001,24.514654,2500000
2011-04-27,35.980000,36.320000,35.930000,36.230000,24.753786,3744500
2011-04-28,36.240002,36.389999,36.110001,36.380001,24.856272,3856400
2011-04-29,36.369999,36.560001,36.220001,36.480000,24.924595,2200000
2011-05-02,36.599998,36.639999,36.480000,36.540001,24.965590,4209400
2011-05-03,36.549999,37.169998,36.500000,36.950001,25.245720,3699900
2011-05-04,36.959999,37.169998,36.340000,36.639999,25.033913,8382100
2011-05-05,36.619999,36.959999,36.549999,36.660000,25.047581,3761500
