Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,81.029999,81.470001,80.360001,80.360001,48.632721,559000
2011-01-04,80.800003,80.809998,78.900002,79.900002,48.354336,1187900
2011-01-05,77.690002,78.900002,77.660004,78.839996,47.712830,1318500
2011-01-06,78.930000,78.980003,77.430000,77.739998,47.047138,982900
2011-01-07,77.410004,77.940002,76.589996,77.199997,46.720329,1086300
2011-01-10,76.940002,77.720001,76.459999,77.559998,46.938202,766800
2011-01-11,78.120003,78.599998,77.900002,78.339996,47.410248,1108500
2011-01-12,79.730003,80.500000,79.449997,80.230003,48.554050,1400400
2011-01-13,80.260002,80.419998,79.370003,79.519997,48.124355,1253500
2011-01-14,78.500000,79.190002,78.379997,79.190002,47.924660,981400
2011-01-18,79.980003,80.440002,79.769997,80.059998,48.451160,775300
2011-01-19,79.720001,79.940002,78.480003,78.720001,47.640224,1937400
2011-01-20,76.540001,76.620003,75.379997,76.349998,46.205933,1735700
2011-01-21,77.230003,77.500000,76.139999,76.370003,46.218025,1206000
2011-01-24,76.250000,78.260002,76.250000,78.239998,47.349724,1110100
2011-01-25,76.419998,76.510002,75.430000,76.180000,46.103035,2638700
2011-01-26,77.410004,78.559998,77.279999,78.449997,47.476810,1248000
2011-01-27,78.709999,78.839996,77.239998,77.480003,46.889790,1569700
2011-01-28,75.790001,76.349998,74.769997,75.199997,45.509960,1643500
2011-01-31,76.070000,76.779999,75.989998,76.709999,46.423805,1617200
2011-02-01,78.190002,79.129997,78.070000,79.050003,47.839931,1161600
2011-02-02,80.190002,81.400002,79.980003,81.110001,49.086613,1696800
2011-02-03,81.150002,81.849998,80.320000,81.820000,49.516289,1394200
2011-02-04,81.029999,81.669998,80.400002,81.269997,49.183441,1408000
2011-02-07,81.589996,82.099998,81.260002,81.930000,49.582867,1075200
2011-02-08,81.309998,82.480003,81.080002,82.379997,49.855198,1362000
2011-02-09,81.010002,81.500000,80.269997,80.690002,48.832439,800300
2011-02-10,79.550003,80.300003,79.370003,80.050003,48.445118,2274700
2011-02-11,79.940002,81.160004,79.739998,80.730003,48.856644,1479200
2011-02-14,81.199997,82.300003,81.110001,82.110001,49.691795,1277100
2011-02-15,80.809998,81.110001,80.300003,80.750000,48.868748,1411300
2011-02-16,78.769997,79.849998,78.769997,79.690002,48.227242,1710700
2011-02-17,78.629997,79.779999,78.519997,79.669998,48.215145,2075000
2011-02-18,77.290001,77.989998,77.160004,77.339996,46.805058,2125000
2011-02-22,77.680000,78.800003,76.550003,76.790001,46.472214,2713900
2011-02-23,76.690002,76.839996,75.419998,76.750000,46.447994,6344500
2011-02-24,77.059998,77.379997,75.779999,76.290001,46.169609,3923300
2011-02-25,77.760002,78.849998,77.639999,78.849998,47.718884,3256600
2011-02-28,79.699997,79.849998,78.760002,79.309998,47.997272,2775400
2011-03-01,79.800003,80.000000,78.169998,78.360001,47.422344,1909500
