Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,57.630001,57.740002,57.150002,57.630001,43.861767,825500
2011-01-04,57.830002,57.849998,56.950001,57.340000,43.641052,554200
2011-01-05,56.220001,57.259998,56.150002,56.820000,43.245270,1135700
2011-01-06,57.680000,57.849998,56.820000,57.070000,43.435558,1829100
2011-01-07,56.650002,56.889999,56.349998,56.599998,43.077843,1265800
2011-01-10,56.450001,56.730000,56.189999,56.610001,43.085453,530500
2011-01-11,57.139999,57.250000,56.790001,57.040001,43.412724,383500
2011-01-12,57.369999,58.299999,57.049999,58.110001,44.227089,785200
2011-01-13,58.580002,58.880001,58.349998,58.680000,44.660912,612200
2011-01-14,57.389999,57.959999,57.360001,57.910000,44.074875,948300
2011-01-18,57.410000,57.860001,57.310001,57.380001,43.671486,627900
2011-01-19,57.500000,57.540001,56.610001,56.849998,43.268116,677200
2011-01-20,55.930000,55.959999,55.119999,55.840000,42.499409,1638600
2011-01-21,55.599998,56.230000,55.439999,55.700001,42.392860,1230300
2011-01-24,55.930000,56.709999,55.889999,56.619999,43.093060,735500
2011-01-25,56.990002,57.669998,56.799999,57.540001,43.793270,1255300
2011-01-26,57.450001,57.880001,57.220001,57.459999,43.732380,676600
2011-01-27,56.750000,57.150002,56.380001,56.470001,42.978905,945300
2011-01-28,55.830002,55.860001,54.910000,55.070000,41.913368,1803100
2011-01-31,55.360001,55.799999,55.139999,55.310001,42.096035,959900
2011-02-01,55.540001,55.889999,55.459999,55.669998,42.370018,842200
2011-02-02,55.700001,56.490002,55.580002,56.250000,42.811459,1135300
2011-02-03,56.060001,56.180000,55.599998,56.000000,42.621181,1150200
2011-02-04,55.090000,55.590000,54.930000,55.590000,42.309139,1218000
2011-02-07,55.750000,56.410000,55.680000,56.290001,42.841908,714800
2011-02-08,56.549999,56.810001,56.240002,56.470001,42.978905,2581400
2011-02-09,56.130001,56.480000,55.779999,56.150002,42.735348,1882000
2011-02-10,55.330002,55.860001,55.160000,55.759998,42.438519,915300
2011-02-11,55.369999,56.270000,55.369999,55.990002,42.613575,1747700
2011-02-14,54.660000,55.049999,54.400002,54.980000,41.844875,2161800
2011-02-15,55.400002,55.520000,54.900002,54.970001,41.837257,888300
2011-02-16,55.150002,55.279999,54.700001,54.980000,41.844875,2332900
2011-02-17,54.680000,54.980000,54.419998,54.900002,41.783985,1815700
2011-02-18,54.610001,54.939999,54.439999,54.900002,41.783985,1689800
2011-02-22,54.830002,55.290001,54.419998,54.509998,41.487156,3352400
2011-02-23,55.610001,55.709999,55.009998,55.299999,42.088417,2411300
2011-02-24,55.299999,55.619999,54.900002,55.169998,41.989479,1944900
2011-02-25,54.990002,55.250000,54.980000,55.200001,42.012321,1444400
2011-02-28,55.529999,56.110001,55.380001,56.029999,42.644012,710500
2011-03-01,56.810001,57.000000,56.130001,56.230000,42.796234,1265900
2011-03-02,56.189999,56.459999,55.650002,56.099998,42.697289,1303600
2011-03-03,57.389999,57.880001,56.970001,57.820000,44.006378,3545900
2011-03-04,58.520000,58.650002,57.720001,58.040001,44.173809,1936100
2011-03-07,57.840000,57.990002,56.889999,57.060001,43.427933,1339600
2011-03-08,56.790001,57.400002,56.630001,57.299999,43.610603,980200
2011-03-09,57.880001,58.090000,57.520000,57.630001,43.861767,827100
2011-03-10,57.070000,57.380001,56.689999,57.000000,43.382278,1488000
2011-03-11,56.500000,57.250000,56.500000,57.049999,43.420330,863900
2011-03-14,56.400002,56.700001,56.299999,56.650002,43.115894,792800
2011-03-15,54.299999,55.490002,54.139999,55.150002,41.974255,2377100
2011-03-16,55.090000,55.189999,53.590000,53.900002,41.022900,2250200
2011-03-17,55.320000,55.529999,54.740002,54.869999,41.761147,1199700
2011-03-18,56.060001,56.060001,54.900002,55.040001,41.890537,1451000
2011-03-21,56.480000,56.549999,55.930000,56.480000,42.986511,730300
2011-03-22,56.299999,56.380001,55.799999,56.000000,42.621181,639900
2011-03-23,55.840000,56.750000,55.509998,56.590000,43.070232,802600
2011-03-24,56.959999,57.720001,56.799999,57.430000,43.709553,785100
2011-03-25,57.709999,57.910000,57.389999,57.470001,43.739983,890400
2011-03-28,57.299999,57.299999,56.560001,56.810001,43.237675,665100
2011-03-29,56.759998,57.209999,56.410000,56.900002,43.306171,2438600
2011-03-30,57.220001,57.619999,57.090000,57.570000,43.816105,975300
2011-03-31,57.189999,57.340000,56.930000,57.169998,43.511662,1021300
2011-04-01,58.060001,59.029999,57.939999,58.860001,44.797909,1549800
2011-04-04,59.869999,59.880001,59.419998,59.549999,45.323067,682600
2011-04-05,59.150002,59.910000,59.080002,59.840000,45.543781,658400
2011-04-06,59.509998,60.209999,59.500000,59.869999,45.566616,476800
2011-04-07,58.790001,59.389999,58.750000,59.250000,45.094738,1213500
2011-04-08,59.509998,59.520000,58.860001,59.029999,44.927303,677700
2011-04-11,59.130001,59.680000,59.090000,59.419998,45.224117,547800
2011-04-12,59.700001,59.730000,58.950001,59.430000,45.231739,826500
2011-04-13,60.119999,60.520000,59.950001,60.180000,45.802551,742400
2011-04-14,59.770000,60.630001,59.700001,60.610001,46.129814,1583600
2011-04-15,60.669998,61.599998,60.549999,61.540001,46.837639,1198600
2011-04-18,59.410000,60.599998,59.279999,60.490002,46.038494,3564800
2011-04-19,61.610001,62.490002,61.610001,62.330002,47.438904,2265600
2011-04-20,62.730000,62.950001,61.580002,61.779999,47.020302,1444500
2011-04-21,61.259998,61.529999,60.939999,61.439999,47.654770,622400
2011-04-25,61.299999,61.799999,61.250000,61.369999,47.600471,638700
2011-04-26,62.340000,63.000000,61.990002,62.570000,48.531231,1100000
2011-04-27,63.130001,63.630001,62.580002,63.450001,49.213795,819700
2011-04-28,63.230000,63.790001,63.220001,63.759998,49.454231,1310500
2011-04-29,63.509998,64.050003,63.490002,63.970001,49.617115,785000
2011-05-02,64.099998,64.529999,63.799999,63.930000,49.586090,1022400
2011-05-03,63.299999,63.950001,63.110001,63.389999,49.167248,868000
2011-05-04,62.590000,62.759998,60.590000,60.980000,47.297974,2795700
2011-05-05,59.639999,60.090000,59.150002,59.669998,46.281902,2747700
2011-05-06,59.830002,60.080002,58.919998,59.349998,46.033707,2206900
2011-05-09,58.919998,59.400002,58.639999,59.200001,45.917358,1178200
2011-05-10,59.230000,59.639999,59.119999,59.250000,45.956142,659000
2011-05-11,58.639999,58.689999,57.900002,58.250000,45.180496,1628900
2011-05-12,58.680000,59.480000,58.270000,59.169998,45.894077,818000
2011-05-13,59.630001,60.130001,58.950001,59.549999,46.188828,1592300
2011-05-16,59.630001,60.259998,59.439999,59.509998,46.157803,1190500
2011-05-17,59.439999,60.290001,59.369999,60.000000,46.537861,1132300
2011-05-18,60.009998,60.209999,59.799999,59.990002,46.530106,844800
2011-05-19,60.209999,60.450001,59.820000,60.410000,46.855869,989200
