Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,17.778847,17.788462,17.519232,17.576923,13.383633,54941328
2011-01-04,17.634615,17.894232,17.423077,17.894232,13.625245,82180280
2011-01-05,17.807692,18.000000,17.711538,17.923077,13.647206,53375296
2011-01-06,17.971153,18.000000,17.711538,17.846153,13.588632,41225704
2011-01-07,17.865385,17.942308,17.500000,17.721153,13.493458,59629960
2011-01-10,17.894232,18.028847,17.750000,17.798077,13.552027,65516360
2011-01-11,17.990385,18.086538,17.865385,17.913462,13.639883,48457032
2011-01-12,17.855768,18.009615,17.769232,17.951923,13.669168,63661832
2011-01-13,18.009615,18.076923,17.846153,17.884615,13.617918,46595016
2011-01-14,17.894232,18.115385,17.836538,18.096153,13.778992,43925128
2011-01-18,18.250000,18.259615,17.846153,17.884615,13.617918,73326136
2011-01-19,17.894232,17.923077,17.490385,17.625000,13.420237,85477704
2011-01-20,17.750000,17.875000,17.471153,17.721153,13.493458,70442112
2011-01-21,18.567308,19.201923,18.509615,18.980768,14.452559,238243408
2011-01-24,19.163462,19.346153,18.980768,19.269232,14.672211,102489192
2011-01-25,19.211538,19.500000,19.038462,19.211538,14.628285,105026584
2011-01-26,19.403847,19.423077,19.153847,19.153847,14.584348,70463744
2011-01-27,19.192308,19.548077,19.134615,19.500000,14.847923,70554224
2011-01-28,19.605768,19.942308,19.346153,19.423077,14.789352,106277288
2011-01-31,19.355768,19.509615,19.326923,19.365385,14.745430,53792336
2011-02-01,19.596153,20.096153,19.519232,20.000000,15.228645,71036472
2011-02-02,20.038462,20.153847,19.855768,19.913462,15.162752,43967352
2011-02-03,19.855768,19.971153,19.634615,19.951923,15.192035,42762408
2011-02-04,19.990385,20.000000,19.615385,19.769232,15.052926,44832424
2011-02-07,19.971153,20.192308,19.932692,20.067308,15.279896,47202376
2011-02-08,20.153847,20.490385,20.105768,20.461538,15.580069,57137912
2011-02-09,20.480768,20.605768,20.250000,20.490385,15.602037,63498864
2011-02-10,20.355768,20.490385,20.134615,20.451923,15.572752,52224016
2011-02-11,20.230768,20.615385,20.221153,20.509615,15.616677,42281616
2011-02-14,20.682692,20.817308,20.625000,20.673077,15.741146,45139328
2011-02-15,20.625000,20.663462,20.423077,20.634615,15.711860,41203760
2011-02-16,20.596153,20.663462,20.432692,20.615385,15.697218,40569880
2011-02-17,20.461538,20.750000,20.442308,20.692308,15.755786,38124216
2011-02-18,20.711538,20.769232,20.480768,20.615385,15.697218,47303568
2011-02-22,20.076923,20.394232,19.865385,20.019232,15.243282,75421112
2011-02-23,19.730768,19.894232,19.307692,19.586538,14.913817,88337912
2011-02-24,19.346153,19.855768,19.326923,19.788462,15.171848,67943408
2011-02-25,19.913462,20.076923,19.711538,20.019232,15.348772,47514688
2011-02-28,20.144232,20.259615,20.019232,20.115385,15.422498,44358808
2011-03-01,20.307692,20.355768,19.461538,19.471153,14.928564,64472824
2011-03-02,19.403847,19.846153,19.384615,19.538462,14.980167,51069200
