Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,67.629997,67.629997,67.000000,67.070000,41.578415,431500
2011-01-04,67.970001,67.970001,67.400002,67.760002,42.006176,1046700
2011-01-05,66.150002,67.129997,66.129997,67.070000,41.578415,1069600
2011-01-06,66.410004,66.589996,65.629997,65.970001,40.896515,965600
2011-01-07,66.089996,66.529999,65.900002,66.230003,41.057686,1137100
2011-01-10,66.779999,67.309998,66.540001,67.139999,41.621822,754600
2011-01-11,67.570000,67.570000,67.000000,67.279999,41.708618,715100
2011-01-12,67.150002,67.870003,67.019997,67.730003,41.987587,890200
2011-01-13,67.379997,67.790001,67.260002,67.419998,41.795399,1181200
2011-01-14,66.839996,67.940002,66.660004,67.790001,42.024784,1290000
2011-01-18,68.010002,68.750000,67.919998,68.529999,42.483521,879300
2011-01-19,69.339996,69.379997,68.339996,68.500000,42.464924,1665700
2011-01-20,67.830002,67.980003,67.089996,67.849998,42.061974,966400
2011-01-21,68.620003,69.050003,68.500000,68.919998,42.725285,890800
2011-01-24,69.199997,70.089996,69.190002,69.919998,43.345219,895500
2011-01-25,68.709999,69.199997,68.480003,69.160004,42.874069,865600
2011-01-26,69.459999,69.879997,69.250000,69.720001,43.221222,592200
2011-01-27,70.379997,70.680000,70.070000,70.510002,43.710968,753300
2011-01-28,70.080002,70.309998,69.230003,69.669998,43.190239,1029800
2011-01-31,69.940002,70.699997,69.919998,70.570000,43.748173,1340800
2011-02-01,72.180000,73.489998,72.160004,73.489998,45.558350,1594200
2011-02-02,72.970001,73.720001,72.970001,73.290001,45.434372,1120000
2011-02-03,70.599998,71.199997,70.150002,71.080002,44.064335,1393200
2011-02-04,70.040001,70.160004,69.300003,69.750000,43.239834,1591900
2011-02-07,70.360001,70.660004,70.190002,70.529999,43.723366,1434400
2011-02-08,70.099998,70.470001,69.820000,70.379997,43.630379,708100
2011-02-09,69.169998,69.480003,69.059998,69.400002,43.542542,708500
2011-02-10,68.919998,69.199997,68.660004,68.930000,43.247677,1489900
2011-02-11,67.860001,68.660004,67.830002,68.470001,42.959045,1096600
2011-02-14,67.389999,68.239998,67.360001,68.160004,42.764557,1840100
2011-02-15,68.900002,69.059998,68.430000,68.870003,43.210011,1079000
