Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,94.270927,95.070557,94.167450,94.948257,64.086189,2448727
2011-01-04,94.797745,95.014114,91.693321,92.135468,62.187664,2634220
2011-01-05,91.909691,92.869240,91.909691,92.427094,62.384510,2081460
2011-01-06,92.615242,92.662277,89.642525,89.698967,60.543144,2534724
2011-01-07,90.206963,91.411102,90.197556,91.204140,61.559086,2468924
2011-01-10,90.809029,92.728127,90.790215,91.759171,61.933693,2781021
2011-01-11,92.314201,93.038567,91.542801,91.787392,61.952740,2545247
2011-01-12,92.492943,92.878647,91.392288,91.919098,62.041656,1891715
2011-01-13,91.768578,92.445908,91.269989,92.333023,62.321033,1133583
2011-01-14,92.285980,93.095016,91.730949,93.076202,62.822639,1360109
2011-01-18,93.000938,93.875824,92.314201,93.875824,63.362350,1493515
2011-01-19,93.988708,94.035751,92.370651,92.878647,62.689278,1834100
2011-01-20,92.850426,93.998116,92.671684,92.925682,62.721054,1427396
2011-01-21,93.320793,93.640640,92.699905,93.631233,63.197262,1524236
2011-01-24,93.979301,94.120415,92.859833,93.838196,63.336948,1552724
2011-01-25,93.678268,94.675446,93.170273,94.600189,63.851269,1896392
2011-01-26,94.750710,95.192848,93.753525,94.741295,63.946499,1530826
2011-01-27,95.126999,95.540924,94.073380,95.343369,64.352890,1664764
2011-01-28,95.569145,96.058327,93.650047,94.045158,63.476654,1783714
2011-01-31,94.148636,95.616180,94.148636,95.437439,64.416382,1421763
2011-02-01,95.983070,96.679207,94.797745,96.396988,65.064034,1769576
2011-02-02,96.274696,97.347130,95.804329,96.773285,65.318039,1774253
2011-02-03,96.538101,98.711197,96.538101,98.494827,66.479980,2268867
2011-02-04,98.062088,98.777046,96.792099,97.337723,65.698990,2577456
2011-02-07,97.582314,98.871117,97.469429,98.805267,66.689514,2919317
2011-02-08,99.040451,100.037628,98.551270,99.971779,67.476860,1744915
2011-02-09,99.567261,100.573845,99.360298,99.962372,67.470528,1339486
2011-02-10,99.087486,100.470367,98.795860,100.103477,68.078323,1845581
2011-02-11,100.000000,101.081841,99.539040,100.809029,68.558121,1327049
2011-02-14,101.081841,101.222954,99.727188,100.686737,68.474960,1274643
2011-02-15,100.141113,101.439323,99.840073,100.517403,68.359810,943519
2011-02-16,101.091248,101.966133,100.752586,101.420509,68.973976,1358301
2011-02-17,101.166512,101.872063,100.959549,101.721542,69.178696,896109
2011-02-18,102.079025,102.079025,100.799622,101.542801,69.057159,1495747
2011-02-22,100.545624,102.154282,100.526810,101.486359,69.018761,1904790
2011-02-23,101.222954,102.079025,99.548447,100.639702,68.442978,2096236
2011-02-24,100.620888,100.620888,98.071495,99.379112,67.585686,1653603
2011-02-25,99.877708,100.733772,99.454376,100.639702,68.442978,2243568
2011-02-28,100.912514,103.734711,100.912514,103.518341,70.400703,2199985
2011-03-01,103.781754,103.941673,100.639702,100.696144,68.481377,2357734
2011-03-02,100.705551,101.392288,99.021637,99.181564,67.451324,1976436
2011-03-03,100.348068,101.166512,100.301033,101.015991,68.698898,1421975
2011-03-04,100.714958,101.373474,99.604889,100.329254,68.231834,1163241
2011-03-07,100.790215,101.128883,99.021637,99.670746,67.784012,1031535
2011-03-08,100.037628,101.505173,99.849480,100.874886,68.602928,1234356
2011-03-09,100.545624,101.392288,99.755409,100.206963,68.148697,1231379
2011-03-10,99.322670,100.018814,98.955788,99.143929,67.425720,1412727
2011-03-11,99.209785,100.686737,98.777046,100.526810,68.366196,1230104
2011-03-14,99.783630,100.404518,99.115707,99.369705,67.579269,1487987
2011-03-15,96.575729,99.576668,96.575729,98.664162,67.099419,1939869
2011-03-16,98.410156,98.607712,96.124176,96.810913,65.839111,1892565
2011-03-17,98.203201,98.391342,96.246475,97.121353,66.050232,2014279
2011-03-18,98.381935,98.833488,97.356537,97.723427,66.459679,2440861
2011-03-21,98.955788,99.821259,98.541862,99.059265,67.368156,1492027
2011-03-22,98.927567,99.209785,98.137344,98.692383,67.118660,1689213
2011-03-23,98.457199,98.494827,96.585136,96.782692,65.819901,1672737
2011-03-24,97.243652,97.883347,96.293510,97.535278,66.331741,1433668
2011-03-25,97.591721,98.805267,97.281281,98.438385,66.945915,1143575
2011-03-28,98.551270,99.454376,98.494827,98.908752,67.265785,1367018
2011-03-29,98.984009,99.764816,97.685799,99.651932,67.771210,1377223
2011-03-30,100.018814,100.479774,99.501411,100.357475,68.251053,1867266
2011-03-31,99.934151,101.382881,99.934151,100.809029,68.558121,1550386
2011-04-01,101.138290,101.636879,100.310440,100.761993,68.526146,1532740
2011-04-04,100.959549,101.486359,100.357475,100.611481,68.423767,1163985
2011-04-05,100.423332,101.458138,100.244591,100.799622,68.551758,1194599
2011-04-06,101.044212,101.100662,100.310440,100.959549,68.660515,793848
2011-04-07,100.545624,100.780807,98.372528,100.065849,68.052719,3552121
2011-04-08,100.667923,100.856071,98.936974,99.388519,67.592079,1590886
2011-04-11,99.388519,100.253998,98.908752,99.482597,67.656067,1422294
2011-04-12,99.031044,99.548447,98.344307,98.551270,67.022690,1410495
2011-04-13,98.777046,99.341484,98.560677,98.824081,67.208199,1082028
2011-04-14,98.476013,101.382881,98.231422,101.081841,68.743668,1812947
2011-04-15,101.222954,102.690498,101.006584,102.285980,69.562592,1868010
2011-04-18,101.768578,101.937912,100.968956,101.646286,69.127525,1282616
2011-04-19,101.665100,102.333023,101.147697,101.947319,69.332268,1280065
2011-04-20,103.142052,103.142052,101.730949,103.123238,70.131989,1340018
2011-04-21,103.480713,104.073380,102.549393,103.922859,70.675789,1315463
2011-04-25,103.932266,105.700844,103.273750,105.108185,71.481888,1287931
2011-04-26,105.409218,105.926620,104.562561,105.380997,71.667442,1384026
2011-04-27,105.794922,106.999062,105.221069,106.735657,72.588707,1561653
2011-04-28,106.688614,108.880524,106.688614,108.137344,73.541992,2041066
2011-04-29,108.278458,108.974602,106.321732,107.751648,73.279671,1488200
2011-05-02,108.278458,109.153343,107.525871,108.805267,73.996216,1369994
2011-05-03,109.125114,110.263405,107.638756,109.190971,74.258545,2362518
2011-05-04,108.965195,109.501411,108.297272,108.739418,73.951439,1906384
2011-05-05,108.156158,109.219193,107.714020,108.410156,73.727509,1391999
2011-05-06,109.557854,109.557854,107.572906,108.099716,73.516396,1680178
2011-05-09,108.222015,109.322670,107.798683,108.889931,74.053802,949472
2011-05-10,109.247414,110.498589,109.002823,110.442146,75.109421,1426759
2011-05-11,110.094070,110.507996,109.680153,109.783630,74.661591,1884593
2011-05-12,109.238007,110.075256,108.570084,110.018814,74.821518,1594500
2011-05-13,109.755409,109.774223,108.400749,108.438385,74.254646,1638933
2011-05-16,108.447792,109.840073,108.137344,108.974602,74.621834,1012295
2011-05-17,108.720604,108.861710,107.845718,108.711197,74.441437,1450251
2011-05-18,108.692383,109.774223,107.949203,109.736595,75.143600,1178336
2011-05-19,110.188148,110.291626,108.711197,109.350891,74.879494,1490007
2011-05-20,109.153343,109.435562,107.610535,107.610535,73.687752,2494330
2011-05-23,106.425209,107.093132,105.983070,106.302917,72.792366,1991743
2011-05-24,106.509880,107.968018,106.387581,107.224838,73.423653,1434625
2011-05-25,107.017876,108.174973,106.331139,107.685799,73.739304,1476507
2011-05-26,107.281281,109.200378,106.754471,108.833488,74.525208,1418786
2011-05-27,109.181564,109.595482,108.447792,109.360298,74.885948,1150166
2011-05-31,110.263405,111.100662,109.689560,111.063026,76.051903,2593295
2011-06-01,110.987770,110.987770,108.080902,108.381935,74.215973,2641768
2011-06-02,108.363121,109.369705,107.638756,107.648163,73.713524,1744915
2011-06-03,106.378174,109.228600,106.378174,108.494827,74.293282,1652434
2011-06-06,108.353714,108.701790,107.149574,107.149574,73.372131,1378073
2011-06-07,107.572906,109.463783,107.187202,108.174973,74.074272,1701544
2011-06-08,107.779869,108.918159,107.685799,108.062088,73.996964,1627666
2011-06-09,108.363121,108.570084,106.453438,106.857948,73.172424,2002479
2011-06-10,106.349953,106.810913,104.167450,104.317970,71.433136,2651335
2011-06-13,104.412041,105.729073,103.574791,105.014114,71.909828,1754163
2011-06-14,106.255882,106.792099,105.371590,106.669800,73.043594,2135780
