Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,377.399994,377.799988,359.799988,361.000000,349.025208,98380
2011-01-04,362.399994,363.700012,344.299988,352.500000,340.807159,85070
2011-01-05,357.299988,363.000000,351.500000,358.200012,346.318085,82600
2011-01-06,359.500000,363.100006,355.600006,360.100006,348.155060,83840
2011-01-07,361.500000,363.299988,351.799988,358.799988,346.898163,67200
2011-01-10,358.700012,366.600006,352.100006,365.299988,353.182556,76410
2011-01-11,367.299988,368.000000,358.399994,358.700012,346.801514,66140
2011-01-12,364.399994,380.600006,361.200012,380.100006,367.491638,127660
2011-01-13,381.700012,383.600006,376.500000,377.700012,365.171265,66850
2011-01-14,380.899994,388.100006,379.799988,385.799988,373.002533,71320
2011-01-18,387.200012,396.299988,385.799988,393.399994,380.350464,98080
2011-01-19,393.000000,393.000000,353.100006,355.500000,343.707642,176720
2011-01-20,355.100006,355.100006,339.000000,345.899994,334.426086,195130
2011-01-21,353.100006,362.500000,352.799988,357.700012,345.834686,134200
2011-01-24,359.200012,368.000000,357.500000,358.899994,346.994873,83600
2011-01-25,358.700012,359.399994,345.000000,354.700012,342.934204,80320
2011-01-26,357.000000,370.000000,356.600006,369.399994,357.146576,58660
2011-01-27,375.100006,382.299988,366.299988,372.200012,359.853699,77280
2011-01-28,373.899994,376.500000,359.899994,361.000000,349.025208,70690
2011-01-31,362.399994,364.700012,356.200012,361.399994,349.411926,56880
2011-02-01,365.399994,373.600006,365.399994,372.500000,360.143738,91780
2011-02-02,372.000000,376.399994,366.200012,373.600006,361.207245,61630
2011-02-03,377.000000,377.000000,365.500000,370.500000,358.210083,81710
2011-02-04,371.200012,373.100006,366.500000,369.899994,357.629974,54720
2011-02-07,371.100006,378.299988,370.100006,372.000000,359.660309,90630
2011-02-08,376.700012,379.500000,371.100006,379.000000,366.428131,88980
2011-02-09,382.700012,397.500000,382.500000,385.299988,372.519135,157530
2011-02-10,374.500000,384.000000,366.500000,383.200012,370.488831,96060
2011-02-11,379.200012,392.299988,379.000000,390.799988,377.836700,73210
2011-02-14,391.600006,402.200012,390.899994,400.000000,386.731537,84700
2011-02-15,399.200012,401.000000,379.899994,382.700012,370.005402,88450
2011-02-16,385.899994,394.899994,384.500000,392.799988,379.770355,94420
