Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,14.430000,14.520000,14.350000,14.500000,8.839039,2419800
2011-01-04,14.500000,14.680000,14.230000,14.450000,8.808557,1251100
2011-01-05,14.410000,15.200000,14.150000,15.140000,9.229175,1623200
2011-01-06,15.060000,15.290000,14.830000,15.230000,9.284039,2225800
2011-01-07,15.300000,15.400000,14.930000,14.970000,9.125544,1006800
2011-01-10,15.040000,15.200000,14.910000,15.090000,9.198696,1454400
2011-01-11,15.480000,15.500000,14.820000,15.000000,9.143828,1286100
2011-01-12,15.100000,15.300000,15.060000,15.220000,9.277944,1177800
2011-01-13,15.320000,15.650000,15.150000,15.650000,9.540063,3658800
2011-01-14,15.600000,15.820000,15.520000,15.680000,9.558351,2173900
2011-01-18,15.760000,15.760000,15.330000,15.700000,9.570543,1752200
2011-01-19,15.690000,15.890000,15.000000,15.250000,9.296228,1715800
2011-01-20,15.070000,15.200000,14.750000,15.040000,9.168215,1655500
2011-01-21,15.020000,15.270000,14.950000,15.110000,9.210885,1569200
2011-01-24,15.090000,15.370000,14.980000,15.070000,9.186503,1480600
2011-01-25,15.000000,15.090000,14.720000,14.830000,9.040202,3208600
2011-01-26,14.900000,15.090000,14.630000,14.960000,9.119449,1687800
2011-01-27,15.070000,15.100000,14.860000,14.980000,9.131639,1905000
2011-01-28,15.000000,15.040000,14.660000,14.990000,9.137734,3132400
2011-01-31,14.950000,15.090000,14.900000,14.990000,9.137734,4372500
2011-02-01,15.050000,15.950000,15.000000,15.540000,9.473008,4053600
2011-02-02,15.600000,16.250000,15.570000,15.980000,9.741229,2972900
2011-02-03,16.320000,16.760000,16.000000,16.610001,10.125271,3770400
2011-02-04,16.709999,17.070000,16.410000,16.990000,10.356915,2063300
2011-02-07,17.090000,17.110001,16.530001,16.780001,10.228899,2559600
2011-02-08,16.610001,16.690001,16.200001,16.290001,9.930202,2210100
2011-02-09,16.219999,16.360001,15.930000,16.240000,9.899724,1715200
2011-02-10,16.030001,16.469999,15.900000,16.170000,9.857050,1219600
2011-02-11,16.100000,16.309999,15.970000,16.080000,9.802185,3461400
2011-02-14,16.139999,16.400000,16.010000,16.270000,9.918013,1948600
2011-02-15,16.200001,16.350000,16.139999,16.270000,9.918013,740400
2011-02-16,16.330000,16.500000,16.170000,16.270000,9.918013,1922800
2011-02-17,16.200001,16.290001,16.030001,16.200001,9.875338,2541300
2011-02-18,16.240000,16.410000,16.139999,16.290001,9.930202,2021700
2011-02-22,16.100000,16.270000,15.990000,16.180000,9.863148,1908400
2011-02-23,16.750000,17.000000,16.090000,16.370001,9.978971,3746100
2011-02-24,16.719999,16.770000,16.389999,16.700001,10.180135,2223700
2011-02-25,16.750000,17.450001,16.750000,17.190001,10.478832,2631400
2011-02-28,17.299999,17.299999,16.600000,16.660000,10.155749,1712800
2011-03-01,16.780001,16.980000,16.250000,16.360001,9.972875,1748600
2011-03-02,16.400000,17.410000,16.299999,17.389999,10.600748,3297100
2011-03-03,17.260000,17.809999,17.129999,17.670000,10.954107,2610600
2011-03-04,17.900000,18.290001,17.629999,17.680000,10.960304,1751400
2011-03-07,17.889999,18.230000,17.070000,17.430000,10.805324,2473200
