Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,14.410000,14.780000,14.270000,14.560000,14.560000,193600
2011-01-04,14.670000,14.670000,14.220000,14.620000,14.620000,165400
2011-01-05,14.560000,14.800000,14.420000,14.800000,14.800000,172400
2011-01-06,14.760000,14.790000,14.390000,14.460000,14.460000,237200
2011-01-07,14.450000,14.500000,14.030000,14.240000,14.240000,88400
2011-01-10,14.150000,14.290000,13.960000,14.180000,14.180000,117800
2011-01-11,14.210000,14.400000,14.140000,14.210000,14.210000,120900
2011-01-12,14.280000,14.420000,14.010000,14.200000,14.200000,105700
2011-01-13,14.160000,14.230000,13.870000,13.930000,13.930000,99200
2011-01-14,13.940000,14.000000,13.790000,13.930000,13.930000,223800
2011-01-18,13.950000,14.180000,13.860000,14.040000,14.040000,185900
2011-01-19,14.070000,14.210000,13.920000,13.990000,13.990000,112800
2011-01-20,13.880000,14.010000,13.630000,13.930000,13.930000,172000
2011-01-21,13.990000,14.160000,13.800000,13.880000,13.880000,136600
2011-01-24,13.860000,14.100000,13.820000,14.020000,14.020000,80500
2011-01-25,13.950000,14.020000,13.650000,13.930000,13.930000,86300
2011-01-26,13.930000,14.080000,13.870000,13.930000,13.930000,117500
2011-01-27,14.010000,14.090000,13.800000,13.880000,13.880000,55100
2011-01-28,13.950000,14.010000,12.860000,13.500000,13.500000,401100
2011-01-31,13.520000,13.990000,13.420000,13.920000,13.920000,214600
2011-02-01,14.000000,14.330000,13.960000,14.210000,14.210000,186700
2011-02-02,14.130000,14.260000,14.010000,14.100000,14.100000,90700
2011-02-03,14.100000,14.100000,13.920000,13.940000,13.940000,187000
2011-02-04,13.910000,14.000000,13.730000,13.750000,13.750000,102900
2011-02-07,13.750000,13.930000,13.750000,13.830000,13.830000,83400
2011-02-08,13.850000,13.870000,13.570000,13.780000,13.780000,130100
2011-02-09,13.710000,13.840000,13.660000,13.750000,13.750000,172100
2011-02-10,13.720000,13.990000,13.660000,13.880000,13.880000,143700
2011-02-11,13.810000,14.200000,13.810000,14.170000,14.170000,108500
2011-02-14,14.120000,14.300000,13.980000,14.150000,14.150000,77700
2011-02-15,14.140000,14.140000,13.820000,13.840000,13.840000,131000
2011-02-16,13.860000,14.090000,13.670000,14.080000,14.080000,151100
2011-02-17,13.990000,14.170000,13.790000,14.090000,14.090000,191900
2011-02-18,14.130000,14.150000,13.910000,14.120000,14.120000,155200
2011-02-22,13.950000,14.040000,13.610000,13.710000,13.710000,109800
2011-02-23,13.680000,13.720000,13.430000,13.510000,13.510000,130000
2011-02-24,13.490000,13.830000,13.360000,13.480000,13.480000,201900
2011-02-25,13.440000,13.530000,13.270000,13.420000,13.420000,138400
2011-02-28,13.500000,13.520000,13.340000,13.440000,13.440000,157500
2011-03-01,13.460000,13.470000,13.050000,13.170000,13.170000,67000
2011-03-02,13.130000,13.170000,13.010000,13.140000,13.140000,170500
2011-03-03,13.290000,13.650000,13.230000,13.560000,13.560000,74100
2011-03-04,13.510000,13.690000,13.390000,13.630000,13.630000,79100
2011-03-07,13.650000,13.650000,13.440000,13.550000,13.550000,130600
2011-03-08,13.570000,13.970000,13.570000,13.650000,13.650000,171700
2011-03-09,13.630000,13.890000,13.540000,13.820000,13.820000,47300
2011-03-10,13.710000,13.710000,13.500000,13.620000,13.620000,118500
2011-03-11,13.600000,13.660000,13.260000,13.570000,13.570000,69000
2011-03-14,13.450000,13.640000,13.290000,13.530000,13.530000,75300
2011-03-15,13.170000,13.440000,13.010000,13.330000,13.330000,120300
2011-03-16,13.250000,13.250000,12.940000,12.970000,12.970000,114400
2011-03-17,13.150000,13.380000,13.010000,13.240000,13.240000,91300
2011-03-18,13.390000,13.720000,13.290000,13.620000,13.620000,207800
2011-03-21,13.750000,13.900000,13.580000,13.900000,13.900000,107400
2011-03-22,13.940000,14.000000,13.850000,13.940000,13.940000,72300
2011-03-23,13.920000,14.000000,13.680000,13.920000,13.920000,125900
2011-03-24,14.020000,14.450000,13.720000,14.300000,14.300000,125700
2011-03-25,14.320000,14.920000,14.300000,14.380000,14.380000,116400
2011-03-28,14.400000,14.620000,14.260000,14.490000,14.490000,79500
2011-03-29,14.430000,15.160000,14.350000,15.160000,15.160000,249400
2011-03-30,15.180000,15.950000,15.090000,15.200000,15.200000,347500
2011-03-31,15.200000,15.410000,15.090000,15.240000,15.240000,172900
2011-04-01,15.270000,15.470000,15.030000,15.130000,15.130000,159900
2011-04-04,15.120000,15.380000,15.050000,15.250000,15.250000,174100
2011-04-05,15.210000,15.520000,15.040000,15.480000,15.480000,239300
