Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,10.320000,10.500000,9.870000,10.010000,9.524495,249000
2011-01-04,10.015000,10.065000,9.560000,9.840000,9.362739,101600
2011-01-05,9.865000,9.985000,9.715000,9.880000,9.400802,135800
2011-01-06,9.865000,9.930000,9.755000,9.870000,9.391285,147600
2011-01-07,9.910000,9.910000,9.715000,9.865000,9.386525,138000
2011-01-10,9.840000,10.190000,9.795000,10.180000,9.686248,95000
2011-01-11,10.200000,10.425000,9.945000,10.020000,9.534010,132200
2011-01-12,10.085000,10.170000,10.000000,10.065000,9.576825,84400
2011-01-13,9.785000,9.970000,9.625000,9.760000,9.286621,148000
2011-01-14,9.750000,9.775000,9.385000,9.500000,9.039228,115800
2011-01-18,9.445000,9.515000,9.175000,9.435000,8.977385,152200
2011-01-19,9.425000,9.640000,9.425000,9.500000,9.039228,303800
2011-01-20,9.435000,9.660000,9.385000,9.465000,9.005932,147000
2011-01-21,9.480000,9.565000,9.350000,9.350000,8.896506,69200
2011-01-24,9.335000,9.485000,9.265000,9.430000,8.972626,72000
2011-01-25,9.350000,9.500000,9.270000,9.405000,8.948837,121800
2011-01-26,9.475000,9.570000,9.420000,9.530000,9.067777,93000
2011-01-27,9.530000,9.550000,9.425000,9.485000,9.024957,99000
2011-01-28,9.500000,9.555000,9.125000,9.125000,8.682419,218200
2011-01-31,9.155000,9.475000,8.980000,9.035000,8.596784,135600
2011-02-01,9.055000,9.325000,9.015000,9.145000,8.701448,82200
2011-02-02,9.085000,9.200000,9.080000,9.165000,8.720479,59800
2011-02-03,9.165000,9.255000,8.745000,8.800000,8.373181,729200
2011-02-04,9.205000,9.585000,9.130000,9.505000,9.043986,9344800
2011-02-07,9.530000,9.625000,9.360000,9.375000,8.920294,837200
2011-02-08,9.375000,9.545000,9.365000,9.455000,8.996411,384400
2011-02-09,9.425000,9.525000,9.355000,9.420000,8.963112,269400
2011-02-10,9.365000,9.495000,9.275000,9.390000,8.934565,451600
2011-02-11,9.325000,9.620000,9.285000,9.460000,9.001171,411400
2011-02-14,9.650000,9.670000,9.490000,9.605000,9.139136,260600
2011-02-15,9.605000,9.965000,9.575000,9.880000,9.400802,330400
2011-02-16,9.855000,9.990000,9.800000,9.865000,9.386525,184400
2011-02-17,9.900000,10.110000,9.565000,10.075000,9.586343,341600
2011-02-18,10.525000,10.780000,9.975000,10.130000,9.638673,871600
2011-02-22,10.030000,10.215000,9.900000,10.140000,9.648189,494600
2011-02-23,9.865000,10.000000,9.390000,9.800000,9.324682,505200
2011-02-24,9.755000,10.005000,9.755000,9.920000,9.438861,224000
2011-02-25,9.900000,10.065000,9.850000,9.975000,9.491192,173400
2011-02-28,9.985000,9.990000,9.750000,9.795000,9.319922,233200
2011-03-01,9.825000,9.825000,9.730000,9.750000,9.277106,293800
2011-03-02,9.790000,9.890000,9.485000,9.745000,9.272348,249800
2011-03-03,9.805000,9.945000,9.750000,9.870000,9.391285,192600
2011-03-04,9.820000,9.935000,9.500000,9.670000,9.200986,102000
2011-03-07,9.730000,9.730000,9.350000,9.385000,8.929809,426000
2011-03-08,9.370000,9.580000,9.370000,9.475000,9.015443,218400
2011-03-09,9.485000,9.520000,9.375000,9.475000,9.015443,450400
2011-03-10,9.400000,9.455000,9.240000,9.335000,8.882232,344400
2011-03-11,9.345000,9.450000,9.240000,9.390000,8.934565,275600
2011-03-14,9.330000,9.655000,9.250000,9.450000,8.991657,225200
2011-03-15,9.330000,9.465000,9.280000,9.365000,8.910778,299000
2011-03-16,9.325000,9.465000,9.250000,9.255000,8.806112,299200
2011-03-17,9.380000,9.610000,9.350000,9.410000,8.953595,199200
2011-03-18,9.450000,9.560000,9.425000,9.535000,9.072533,210800
2011-03-21,9.585000,9.750000,9.510000,9.750000,9.277106,205000
2011-03-22,9.735000,10.055000,9.665000,9.890000,9.410313,255800
2011-03-23,9.980000,10.245000,9.975000,10.175000,9.681489,297200
2011-03-24,10.200000,10.200000,9.975000,10.045000,9.557796,108600
2011-03-25,10.060000,10.245000,10.005000,10.100000,9.610129,101800
2011-03-28,10.135000,10.295000,9.995000,10.060000,9.572070,217600
2011-03-29,10.030000,10.255000,9.990000,10.035000,9.548283,245000
2011-03-30,10.020000,10.275000,9.990000,10.215000,9.719554,90800
2011-03-31,10.050000,10.220000,9.985000,10.210000,9.714796,162200
2011-04-01,10.210000,10.470000,10.195000,10.305000,9.805187,144200
2011-04-04,10.360000,10.415000,10.270000,10.285000,9.786156,130400
2011-04-05,10.265000,10.280000,10.100000,10.120000,9.629161,217800
2011-04-06,10.125000,10.230000,10.050000,10.155000,9.662461,140000
2011-04-07,10.175000,10.220000,10.025000,10.030000,9.543523,161600
2011-04-08,10.085000,10.120000,9.985000,10.055000,9.567312,50600
2011-04-11,10.070000,10.130000,10.010000,10.045000,9.557796,76000
2011-04-12,10.000000,10.090000,9.975000,10.000000,9.514977,115800
2011-04-13,10.015000,10.120000,10.015000,10.055000,9.567312,70600
2011-04-14,10.040000,10.115000,10.000000,10.095000,9.605372,197600
2011-04-15,10.035000,10.240000,10.035000,10.145000,9.652947,78000
2011-04-18,10.075000,10.075000,9.920000,10.000000,9.514977,127000
2011-04-19,10.030000,10.065000,9.825000,10.010000,9.524495,92600
2011-04-20,10.095000,10.160000,10.030000,10.115000,9.624399,53400
2011-04-21,10.195000,10.195000,9.995000,10.130000,9.638673,69800
2011-04-25,10.105000,10.140000,9.945000,10.135000,9.643432,107400
2011-04-26,10.155000,10.160000,9.980000,10.015000,9.529250,403600
2011-04-27,10.000000,10.050000,9.930000,10.025000,9.538765,172800
2011-04-28,9.995000,10.095000,9.925000,10.085000,9.595859,114600
2011-04-29,10.110000,10.290000,9.995000,10.200000,9.705277,212000
2011-05-02,10.205000,10.205000,9.975000,10.030000,9.543523,182400
2011-05-03,10.000000,10.095000,9.970000,9.995000,9.510224,118600
2011-05-04,9.995000,10.230000,9.945000,10.070000,9.581585,140000
2011-05-05,9.995000,10.160000,9.950000,9.995000,9.510224,123800
2011-05-06,10.030000,10.300000,10.020000,10.240000,9.743338,172000
2011-05-09,10.250000,10.340000,10.170000,10.200000,9.705277,99600
2011-05-10,9.825000,10.365000,9.825000,10.145000,9.652947,120600
2011-05-11,10.295000,10.340000,10.115000,10.225000,9.729068,143000
2011-05-12,10.135000,10.205000,9.865000,10.000000,9.514977,273600
2011-05-13,9.950000,9.990000,9.780000,9.870000,9.391285,135600
2011-05-16,9.825000,9.900000,9.750000,9.755000,9.281863,186000
2011-05-17,9.710000,9.770000,9.630000,9.710000,9.239047,47400
2011-05-18,9.375000,9.945000,9.375000,9.870000,9.391285,75800
2011-05-19,9.920000,9.950000,9.770000,9.845000,9.367495,80400
2011-05-20,9.780000,9.850000,9.695000,9.745000,9.272348,182200
2011-05-23,9.660000,9.660000,9.330000,9.370000,8.915538,90800
2011-05-24,9.405000,9.600000,9.230000,9.505000,9.043986,166000
2011-05-25,9.500000,9.600000,9.420000,9.580000,9.115351,136600
2011-05-26,9.545000,9.665000,9.420000,9.655000,9.186711,91400
2011-05-27,9.705000,9.705000,9.585000,9.650000,9.181955,30200
2011-05-31,9.710000,9.785000,9.655000,9.775000,9.300893,225600
2011-06-01,9.705000,9.905000,9.600000,9.615000,9.148650,166600
2011-06-02,9.610000,9.685000,9.500000,9.650000,9.181955,112200
2011-06-03,9.535000,9.780000,9.500000,9.500000,9.039228,111200
2011-06-06,9.500000,9.660000,9.475000,9.500000,9.039228,146400
2011-06-07,9.570000,9.625000,9.445000,9.465000,9.005932,197200
2011-06-08,9.440000,9.560000,9.365000,9.490000,9.029718,275800
2011-06-09,9.500000,9.500000,9.230000,9.390000,8.934565,419400
2011-06-10,9.345000,9.355000,9.250000,9.255000,8.806112,197400
2011-06-13,9.295000,9.420000,9.235000,9.275000,8.825140,191800
2011-06-14,9.335000,9.595000,9.335000,9.525000,9.063018,204400
2011-06-15,9.450000,9.485000,9.350000,9.425000,8.967869,131200
2011-06-16,9.430000,9.670000,9.405000,9.475000,9.015443,212600
2011-06-17,9.495000,9.510000,9.350000,9.420000,8.963112,152000
2011-06-20,9.240000,9.555000,9.240000,9.395000,8.939322,264200
2011-06-21,9.400000,9.545000,9.285000,9.540000,9.077291,287800
2011-06-22,9.490000,9.555000,9.365000,9.465000,9.005932,237200
2011-06-23,9.375000,9.585000,9.325000,9.540000,9.077291,419600
2011-06-24,9.555000,9.615000,9.370000,9.515000,9.053503,4251800
2011-06-27,9.530000,9.630000,9.330000,9.475000,9.015443,311200
2011-06-28,9.480000,9.740000,9.475000,9.740000,9.267589,284400
2011-06-29,9.740000,9.825000,9.700000,9.780000,9.305648,126200
2011-06-30,9.820000,9.980000,9.820000,9.935000,9.453135,176000
2011-07-01,9.955000,10.035000,9.795000,9.985000,9.500706,167000
2011-07-05,9.985000,10.125000,9.950000,10.075000,9.586343,262400
2011-07-06,10.080000,10.345000,10.065000,10.320000,9.819458,271800
2011-07-07,10.405000,10.670000,10.360000,10.590000,10.076364,195800
2011-07-08,10.455000,10.745000,10.075000,10.495000,9.985971,251600
2011-07-11,10.365000,10.630000,10.155000,10.210000,9.714796,172000
2011-07-12,10.155000,10.245000,10.020000,10.035000,9.548283,145200
2011-07-13,10.095000,10.135000,10.025000,10.065000,9.576825,180800
2011-07-14,10.065000,10.105000,9.885000,9.965000,9.481676,209400
2011-07-15,9.980000,10.065000,9.950000,10.000000,9.514977,178800
2011-07-18,9.990000,10.045000,9.815000,10.005000,9.519735,237400
2011-07-19,10.085000,10.250000,10.085000,10.185000,9.691007,116200
2011-07-20,10.200000,10.200000,10.000000,10.055000,9.567312,100800
2011-07-21,10.025000,10.185000,10.015000,10.125000,9.633916,82800
2011-07-22,9.835000,10.110000,9.605000,9.735000,9.262832,1990800
2011-07-25,9.640000,9.810000,9.565000,9.645000,9.177198,403600
2011-07-26,9.685000,9.765000,9.595000,9.635000,9.167683,193600
2011-07-27,9.575000,9.575000,9.315000,9.375000,8.920294,415800
2011-07-28,9.405000,9.510000,9.295000,9.360000,8.906019,245000
2011-07-29,9.300000,9.395000,9.175000,9.260000,8.810872,311200
2011-08-01,9.335000,9.750000,9.080000,9.220000,8.772810,391400
2011-08-02,9.185000,9.310000,9.060000,9.100000,8.658632,238400
2011-08-03,9.100000,9.550000,8.970000,9.425000,8.967869,307600
2011-08-04,9.060000,9.360000,8.825000,9.100000,8.658632,399600
2011-08-05,9.200000,9.265000,8.880000,9.120000,8.677661,369000
2011-08-08,8.905000,9.080000,8.315000,8.350000,7.945008,473000
2011-08-09,8.590000,8.715000,8.065000,8.675000,8.254244,388400
2011-08-10,8.450000,8.515000,8.180000,8.210000,7.811796,253600
2011-08-11,8.265000,8.665000,8.210000,8.525000,8.111520,266400
2011-08-12,8.600000,8.600000,8.395000,8.485000,8.073462,245600
2011-08-15,8.510000,8.735000,8.485000,8.720000,8.297063,196600
2011-08-16,8.620000,8.735000,8.490000,8.670000,8.249487,165000
2011-08-17,8.690000,8.740000,8.350000,8.475000,8.063947,138200
2011-08-18,8.245000,8.245000,7.800000,7.835000,7.454985,371400
2011-08-19,7.705000,7.930000,7.530000,7.705000,7.331290,192000
2011-08-22,7.780000,7.830000,7.390000,7.485000,7.121963,335800
2011-08-23,7.475000,7.735000,7.215000,7.730000,7.355079,539800
2011-08-24,7.700000,7.935000,7.550000,7.775000,7.397897,380800
2011-08-25,7.840000,7.925000,7.610000,7.645000,7.274201,151200
2011-08-26,7.585000,7.805000,7.445000,7.785000,7.407413,168600
2011-08-29,7.855000,8.060000,7.855000,8.055000,7.664315,204800
2011-08-30,7.995000,8.100000,7.895000,8.015000,7.626256,271800
2011-08-31,8.060000,8.275000,8.030000,8.245000,7.845099,272200
