Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,72.750000,73.449997,72.389999,72.470001,54.978130,3405500
2011-01-04,72.529999,72.529999,71.760002,72.330002,54.871922,3966700
2011-01-05,71.989998,72.099998,70.900002,70.989998,53.855350,4270100
2011-01-06,70.360001,71.250000,70.010002,70.650002,53.597431,3280400
2011-01-07,70.949997,71.190002,70.449997,70.650002,53.597431,2342700
2011-01-10,70.279999,70.599998,70.019997,70.480003,53.468452,2073200
2011-01-11,70.550003,71.250000,70.320000,71.070000,53.916046,2065500
2011-01-12,71.199997,71.680000,71.110001,71.489998,54.234665,1629900
2011-01-13,71.320000,71.750000,71.250000,71.599998,54.318115,1923100
2011-01-14,71.349998,72.519997,71.209999,72.510002,55.008450,2454700
2011-01-18,72.540001,72.910004,72.279999,72.599998,55.076744,2416600
2011-01-19,72.379997,72.489998,71.860001,72.070000,54.674683,2310500
2011-01-20,71.790001,72.930000,71.790001,72.360001,54.894665,2306800
2011-01-21,72.480003,72.959999,72.339996,72.769997,55.205719,2182900
2011-01-24,72.860001,72.889999,72.389999,72.620003,55.091934,2212600
2011-01-25,72.510002,72.610001,71.709999,72.459999,54.970547,2820000
2011-01-26,72.470001,72.980003,72.220001,72.620003,55.091934,2093700
2011-01-27,72.839996,73.699997,72.760002,73.120003,55.471256,2854500
2011-01-28,73.330002,73.580002,71.750000,71.930000,54.568478,2426000
2011-01-31,72.239998,72.430000,71.610001,71.839996,54.500202,2309000
2011-02-01,72.220001,72.629997,71.900002,72.430000,54.947796,1997700
2011-02-02,72.150002,72.480003,70.540001,70.849998,53.749138,4454800
2011-02-03,71.769997,74.239998,71.769997,74.029999,56.161572,3780100
2011-02-04,74.120003,74.419998,73.470001,74.129997,56.237450,1874300
2011-02-07,73.959999,74.279999,73.620003,74.250000,56.328506,2447000
2011-02-08,74.230003,74.820000,74.120003,74.800003,56.745735,1771400
2011-02-09,74.360001,74.769997,74.120003,74.669998,56.802792,1746000
2011-02-10,74.440002,74.650002,73.940002,74.550003,56.711521,1938600
2011-02-11,74.059998,75.059998,74.059998,75.040001,57.084263,1678200
2011-02-14,75.050003,75.110001,74.519997,74.660004,56.795216,1220000
2011-02-15,74.349998,74.540001,74.120003,74.330002,56.544151,1460200
2011-02-16,74.510002,75.099998,74.400002,74.959999,57.023388,1435000
2011-02-17,74.279999,75.010002,74.059998,74.839996,56.932110,1360100
2011-02-18,74.820000,75.480003,74.300003,75.430000,57.380951,2130900
2011-02-22,75.110001,75.410004,73.839996,73.889999,56.209431,2115700
2011-02-23,73.800003,73.800003,72.410004,72.839996,55.410690,2783600
2011-02-24,72.790001,73.529999,72.300003,72.980003,55.517189,1848000
2011-02-25,73.250000,74.029999,73.239998,73.570000,55.966011,1818100
2011-02-28,73.930000,74.949997,73.849998,74.790001,56.894085,3306600
2011-03-01,75.110001,75.389999,73.430000,73.620003,56.004032,3507200
2011-03-02,73.500000,73.769997,70.860001,71.760002,54.589111,6197500
2011-03-03,72.250000,72.599998,71.620003,72.489998,55.144440,2985400
2011-03-04,72.500000,72.860001,72.209999,72.809998,55.387856,2678000
2011-03-07,72.989998,72.989998,72.029999,72.190002,54.916225,3105000
2011-03-08,72.089996,74.059998,72.089996,73.620003,56.004032,2615800
2011-03-09,73.480003,74.250000,73.080002,74.160004,56.414852,1926400
2011-03-10,73.510002,74.180000,73.120003,73.379997,55.821487,2372300
2011-03-11,73.089996,73.620003,72.540001,72.550003,55.190083,2068600
2011-03-14,72.250000,72.470001,71.540001,71.839996,54.649967,2217400
2011-03-15,70.760002,71.970001,70.660004,71.559998,54.436974,2542200
2011-03-16,71.139999,71.190002,69.540001,69.760002,53.067665,3980200
2011-03-17,70.459999,70.989998,70.080002,70.459999,53.600178,2346600
2011-03-18,71.029999,71.230003,70.150002,70.660004,53.752323,4766800
2011-03-21,71.110001,71.190002,70.370003,71.040001,54.041393,2553200
2011-03-22,71.059998,71.889999,70.919998,71.550003,54.429371,1929300
2011-03-23,71.489998,71.540001,70.400002,70.919998,53.950100,2494900
2011-03-24,71.190002,72.330002,71.099998,72.110001,54.855362,2118700
2011-03-25,72.239998,72.370003,71.410004,71.459999,54.360893,2122100
2011-03-28,71.489998,71.809998,70.989998,71.260002,54.208759,1328200
2011-03-29,71.239998,71.949997,70.779999,71.900002,54.695610,1334600
2011-03-30,72.269997,72.980003,72.269997,72.809998,55.387856,1769700
2011-03-31,72.559998,73.459999,72.080002,73.320000,55.775833,2323500
2011-04-01,73.160004,74.330002,73.139999,74.250000,56.483307,2474600
2011-04-04,74.620003,74.879997,73.940002,74.169998,56.422421,1287100
2011-04-05,74.349998,75.820000,74.349998,74.930000,57.000587,3386300
2011-04-06,75.309998,75.940002,74.750000,74.989998,57.046215,1980700
2011-04-07,76.370003,78.459999,76.339996,77.820000,59.199028,5923000
2011-04-08,77.169998,77.290001,76.209999,76.410004,58.126461,2933400
2011-04-11,76.160004,76.620003,75.669998,76.199997,57.966694,2423900
2011-04-12,75.750000,76.839996,75.739998,76.449997,58.156864,2108000
2011-04-13,76.739998,76.739998,75.959999,76.410004,58.126461,1285900
2011-04-14,75.959999,76.470001,75.660004,76.339996,58.073185,1590700
2011-04-15,76.339996,77.029999,76.239998,76.970001,58.552475,2137000
2011-04-18,76.000000,77.059998,76.000000,76.900002,58.499172,1641500
2011-04-19,77.080002,77.150002,76.459999,76.709999,58.354660,1794500
2011-04-20,77.510002,78.669998,77.400002,78.559998,59.761967,2477700
2011-04-21,78.650002,78.959999,78.050003,78.870003,59.997810,1790700
2011-04-25,78.639999,78.870003,78.360001,78.660004,59.838074,1610300
2011-04-26,78.940002,80.000000,78.349998,79.779999,60.690063,2800000
2011-04-27,80.309998,81.290001,80.169998,81.099998,61.694229,3069400
2011-04-28,80.930000,81.500000,80.860001,81.459999,61.968060,2500000
2011-04-29,81.180000,81.489998,80.540001,80.889999,61.534439,6513700
2011-05-02,81.209999,81.279999,80.559998,81.040001,61.648567,2154800
2011-05-03,80.919998,81.160004,80.129997,80.510002,61.245396,2700000
2011-05-04,80.269997,80.919998,80.110001,80.139999,60.963932,2187700
2011-05-05,80.050003,80.919998,79.370003,79.610001,60.560741,3300000
2011-05-06,80.440002,80.820000,80.070000,80.449997,61.199738,2214700
2011-05-09,80.470001,81.500000,80.330002,81.400002,61.922447,1519700
2011-05-10,81.680000,82.699997,81.550003,82.230003,62.553844,2069300
2011-05-11,82.029999,82.269997,81.190002,81.699997,62.332584,1600000
2011-05-12,81.730003,83.400002,81.489998,83.320000,63.568539,2500000
2011-05-13,83.269997,83.589996,82.570000,82.720001,63.110764,2215700
2011-05-16,82.550003,82.650002,82.099998,82.309998,62.797958,1768100
2011-05-17,82.169998,82.879997,82.050003,82.709999,63.103157,1538300
2011-05-18,82.629997,83.370003,82.050003,83.239998,63.507504,1630900
2011-05-19,83.339996,83.900002,83.099998,83.860001,63.980553,1137300
2011-05-20,83.769997,83.949997,82.309998,83.400002,63.629574,2223400
2011-05-23,82.620003,83.279999,82.279999,82.639999,63.049747,2400000
2011-05-24,82.970001,82.970001,81.269997,81.349998,62.065536,3623100
2011-05-25,80.330002,80.769997,79.139999,80.320000,61.279724,5232000
2011-05-26,80.059998,80.919998,79.610001,80.809998,61.653561,2353600
2011-05-27,80.930000,81.809998,80.809998,81.529999,62.202866,1736000
2011-05-31,81.940002,82.500000,81.660004,82.480003,62.927666,2230300
2011-06-01,82.339996,82.510002,80.139999,80.209999,61.195789,2708800
2011-06-02,80.830002,80.860001,78.970001,79.000000,60.272629,4003400
2011-06-03,78.599998,78.849998,77.760002,77.809998,59.364712,3377400
2011-06-06,77.550003,78.150002,77.309998,77.690002,59.273186,2496700
2011-06-07,78.080002,78.949997,77.830002,78.360001,59.784336,2467000
2011-06-08,78.370003,79.660004,78.250000,78.930000,60.219193,2517700
2011-06-09,79.000000,79.699997,78.639999,79.029999,60.295494,1843700
2011-06-10,79.099998,79.279999,78.230003,78.300003,59.738560,2121900
2011-06-13,78.180000,79.019997,78.050003,78.449997,59.852982,1381100
2011-06-14,79.139999,79.419998,78.800003,79.239998,60.455738,1746900
2011-06-15,78.550003,78.959999,77.739998,77.930000,59.456272,1765800
2011-06-16,77.879997,78.910004,77.750000,78.849998,60.158161,2191800
2011-06-17,79.980003,80.660004,79.230003,79.629997,60.753273,4217400
2011-06-20,79.709999,81.300003,79.639999,81.250000,61.989239,2178600
2011-06-21,81.389999,81.440002,80.540001,81.389999,62.096069,2242000
