Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,20.549999,20.673332,20.520000,20.566668,16.959986,1373100
2011-01-04,20.836666,20.840000,20.646667,20.740000,17.102922,1989000
2011-01-05,20.770000,20.933332,20.760000,20.860001,17.201880,1781400
2011-01-06,20.683332,20.733334,20.483334,20.650000,17.028706,1474500
2011-01-07,20.953333,21.033333,20.730000,20.790001,17.144154,1995900
2011-01-10,20.573334,20.633333,20.393333,20.523333,16.924250,1248600
2011-01-11,20.646667,20.673332,20.540001,20.620001,17.003965,1183800
2011-01-12,20.983334,21.073334,20.910000,20.976667,17.298086,2430000
2011-01-13,20.913334,20.946667,20.770000,20.893333,17.229366,1490100
2011-01-14,20.763332,20.816668,20.716667,20.793333,17.146902,688500
2011-01-18,20.603333,20.666668,20.573334,20.633333,17.014965,1163100
2011-01-19,20.613333,20.680000,20.540001,20.566668,16.959986,1070100
2011-01-20,20.356667,20.360001,20.156668,20.290001,16.731836,1830000
2011-01-21,20.379999,20.389999,20.053333,20.076668,16.555914,1369500
2011-01-24,19.986668,20.100000,19.986668,20.080000,16.558666,1036200
2011-01-25,19.809999,19.866667,19.670000,19.843332,16.363499,1854900
2011-01-26,19.916668,19.920000,19.743334,19.796667,16.325018,1080300
2011-01-27,19.793333,19.963333,19.776667,19.889999,16.401983,1151700
2011-01-28,19.719999,19.750000,19.413334,19.476667,16.061136,1932900
2011-01-31,19.466667,19.553333,19.366667,19.430000,16.022650,1004700
2011-02-01,19.436666,19.616667,19.366667,19.570000,16.138102,1248600
2011-02-02,19.520000,19.633333,19.490000,19.573334,16.140848,990600
2011-02-03,19.500000,19.606667,19.456667,19.523333,16.099615,1370100
2011-02-04,19.486668,19.563334,19.406668,19.490000,16.072128,824400
2011-02-07,19.459999,19.523333,19.396667,19.423332,16.017153,1336500
2011-02-08,19.373333,19.496668,19.343332,19.490000,16.072128,1343400
2011-02-09,19.216667,19.250000,19.040001,19.103333,15.753270,2521800
2011-02-10,18.809999,18.966667,18.756666,18.906668,15.591091,2660400
2011-02-11,18.740000,19.000000,18.706667,18.900000,15.585597,1508400
2011-02-14,18.940001,19.023333,18.886667,18.940001,15.618581,1356000
2011-02-15,18.866667,18.940001,18.853333,18.913334,15.596590,1003500
2011-02-16,19.186666,19.416668,19.186666,19.386667,15.986920,2278200
2011-02-17,19.473333,19.530001,19.443333,19.493334,16.074877,1482300
2011-02-18,19.473333,19.506666,19.320000,19.376667,15.978669,1122300
2011-02-22,18.883333,18.936666,18.643333,18.783333,15.489386,3118200
2011-02-23,18.703333,18.733334,18.563334,18.663334,15.390433,2903100
2011-02-24,18.520000,18.693333,18.490000,18.603333,15.340951,1735200
2011-02-25,18.663334,18.723333,18.563334,18.716667,15.434412,894900
2011-02-28,19.026667,19.113333,18.976667,19.080000,15.734030,1229700
2011-03-01,19.040001,19.049999,18.780001,18.840000,15.536119,1837200
2011-03-02,18.780001,18.980000,18.780001,18.870001,15.560855,1005300
2011-03-03,18.933332,19.093332,18.913334,19.086666,15.739526,1131300
2011-03-04,19.266666,19.326668,19.136667,19.223333,15.852226,2199000
2011-03-07,19.336666,19.436666,19.086666,19.123333,15.769763,1734000
2011-03-08,19.420000,19.646667,19.363333,19.540001,16.113365,2670600
2011-03-09,19.583332,19.663334,19.533333,19.616667,16.176584,1838100
2011-03-10,19.456667,19.483334,19.299999,19.320000,15.931939,1939800
2011-03-11,19.133333,19.480000,19.123333,19.356667,15.962177,1517400
2011-03-14,19.206667,19.363333,19.103333,19.330000,15.940184,1544700
2011-03-15,18.496668,18.959999,18.333332,18.873333,15.563602,2242500
2011-03-16,18.620001,18.706667,18.236668,18.430000,15.198016,3169500
2011-03-17,18.620001,18.629999,18.356667,18.476667,15.236503,1800600
2011-03-18,18.360001,18.383333,18.240000,18.376667,15.154036,2204100
2011-03-21,18.610001,18.730000,18.443333,18.730000,15.445406,1694400
2011-03-22,18.766666,18.833332,18.416668,18.586666,15.327211,3937500
2011-03-23,18.423332,18.486668,18.340000,18.400000,15.173275,2847600
2011-03-24,18.106667,18.190001,17.959999,18.180000,14.991858,2449800
2011-03-25,17.903334,18.013332,17.903334,17.943333,14.796692,2231400
2011-03-28,17.940001,17.980000,17.876667,17.886667,14.749969,1737300
2011-03-29,17.946667,18.049999,17.889999,18.030001,14.868163,1808400
2011-03-30,18.343332,18.383333,18.270000,18.346666,15.129297,2125200
2011-03-31,18.676666,18.756666,18.639999,18.683332,15.406923,2652900
2011-04-01,18.930000,19.026667,18.860001,18.946667,15.624078,1954500
2011-04-04,19.096666,19.223333,19.090000,19.206667,15.838484,1650300
2011-04-05,19.173332,19.266666,19.153334,19.176666,15.813743,915600
2011-04-06,19.513332,19.549999,19.413334,19.436666,16.028149,1787700
2011-04-07,19.510000,19.580000,19.436666,19.476667,16.061136,1418400
2011-04-08,19.506666,19.506666,19.280001,19.366667,15.970425,1452000
2011-04-11,19.450001,19.450001,19.120001,19.223333,15.852226,1488000
2011-04-12,19.126667,19.196667,19.006666,19.033333,15.695550,1626600
2011-04-13,19.280001,19.283333,19.040001,19.103333,15.753270,924600
2011-04-14,18.990000,19.090000,18.920000,19.083332,15.736777,1100400
2011-04-15,19.046667,19.100000,18.976667,19.020000,15.684552,1553400
2011-04-18,18.703333,18.746668,18.556667,18.719999,15.437161,1479900
2011-04-19,18.683332,18.786667,18.676666,18.763332,15.472893,823500
2011-04-20,18.966667,19.053333,18.886667,19.000000,15.668058,1104900
2011-04-21,19.100000,19.136667,19.003332,19.116667,15.764268,509400
2011-04-25,19.096666,19.096666,18.799999,18.870001,15.560855,1105800
2011-04-26,18.469999,18.606667,18.393333,18.523333,15.525654,1918800
2011-04-27,18.270000,18.270000,17.973333,18.129999,15.195973,3057300
2011-04-28,18.023333,18.030001,17.903334,18.016666,15.100983,1419900
2011-04-29,17.843332,17.920000,17.760000,17.896667,15.000401,1224000
2011-05-02,17.906668,17.973333,17.833332,17.889999,14.994813,1029000
2011-05-03,17.766666,17.776667,17.603333,17.690001,14.827181,1596900
2011-05-04,17.513332,17.549999,17.303333,17.446667,14.623226,2461500
2011-05-05,17.209999,17.299999,17.116667,17.190001,14.408098,2928300
2011-05-06,17.350000,17.423332,17.176666,17.276667,14.480740,1443300
2011-05-09,17.243334,17.276667,17.136667,17.250000,14.458387,930600
2011-05-10,17.323334,17.396667,17.280001,17.389999,14.575729,975600
2011-05-11,17.236668,17.263332,16.983334,17.086666,14.321487,2020500
2011-05-12,17.083332,17.166668,16.940001,17.103333,14.335456,954000
2011-05-13,17.163334,17.200001,16.966667,17.023333,14.268401,1092600
2011-05-16,16.900000,17.063334,16.853333,16.896667,14.162233,1593900
2011-05-17,17.030001,17.100000,16.943333,17.059999,14.299134,1368000
2011-05-18,17.206667,17.366667,17.163334,17.356667,14.547791,2023500
2011-05-19,17.356667,17.360001,17.160000,17.286667,14.489120,1671900
2011-05-20,17.219999,17.240000,17.106667,17.139999,14.366189,676800
2011-05-23,16.676666,16.843332,16.666668,16.796667,14.078418,1791900
2011-05-24,16.903334,16.976667,16.786667,16.846666,14.120326,1118400
2011-05-25,16.916668,17.010000,16.883333,16.953333,14.209730,1254300
2011-05-26,16.816668,16.866667,16.716667,16.860001,14.131502,743400
2011-05-27,17.073334,17.129999,17.030001,17.086666,14.321487,935700
2011-05-31,17.573334,17.590000,17.469999,17.516666,14.681897,1920900
2011-06-01,17.516666,17.536667,17.253332,17.263332,14.469562,1774800
2011-06-02,17.250000,17.296667,17.150000,17.260000,14.466768,1068900
2011-06-03,16.923332,17.063334,16.876667,16.896667,14.162233,1278000
2011-06-06,16.866667,16.920000,16.740000,16.760000,14.047684,1312800
2011-06-07,17.000000,17.056667,16.873333,16.886667,14.153853,1239900
2011-06-08,16.850000,16.920000,16.783333,16.790001,14.072830,633000
2011-06-09,17.240000,17.389999,17.190001,17.360001,14.550587,1756200
2011-06-10,17.193333,17.246668,16.986668,17.053333,14.293548,1050900
2011-06-13,17.083332,17.100000,16.930000,16.986668,14.237671,954600
2011-06-14,17.066668,17.133333,17.049999,17.080000,14.315899,801900
2011-06-15,16.826668,16.900000,16.633333,16.756666,14.044889,1578600
2011-06-16,16.443333,16.553333,16.416668,16.520000,13.846525,2417700
