Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,17.250000,17.250000,16.950001,16.950001,13.929170,3300
2011-01-04,16.850000,16.900000,16.850000,16.900000,13.888081,1600
2011-01-05,17.100000,17.400000,17.100000,17.400000,14.298972,5600
2011-01-06,17.549999,17.700001,17.450001,17.549999,14.422237,7300
2011-01-07,17.549999,17.549999,17.549999,17.549999,14.422237,0
2011-01-10,17.200001,17.450001,17.200001,17.450001,14.340057,1400
2011-01-11,17.600000,17.600000,17.600000,17.600000,14.463326,1000
2011-01-12,17.500000,17.889999,17.500000,17.790001,14.619464,1400
2011-01-13,17.299999,17.900000,17.049999,17.049999,14.011347,3500
2011-01-14,17.000000,17.000000,17.000000,17.000000,13.970259,1000
2011-01-18,17.799999,17.900000,17.450001,17.700001,14.545505,5100
2011-01-19,17.879999,17.879999,17.879999,17.879999,14.693420,100
2011-01-20,17.000000,17.150000,17.000000,17.000000,13.970259,3600
2011-01-21,16.799999,17.200001,16.799999,17.200001,14.134614,1200
2011-01-24,17.100000,17.100000,16.670000,16.850000,13.846992,14000
2011-01-25,16.750000,16.750000,16.750000,16.750000,13.764813,2600
2011-01-26,16.500000,16.500000,16.250000,16.260000,13.362141,4000
2011-01-27,16.400000,16.740000,16.400000,16.740000,13.756592,300
2011-01-28,16.750000,16.750000,16.740000,16.740000,13.756592,1200
2011-01-31,15.550000,16.000000,15.500000,16.000000,13.148477,2300
2011-02-01,16.400000,16.549999,15.900000,16.450001,13.518279,27800
2011-02-02,16.450001,16.600000,16.309999,16.600000,13.641546,1900
2011-02-03,16.230000,16.230000,16.180000,16.200001,13.312835,2100
2011-02-04,16.059999,16.120001,16.059999,16.090000,13.222438,3500
2011-02-07,16.850000,17.250000,16.650000,16.650000,13.682636,1400
2011-02-08,16.670000,16.670000,16.670000,16.670000,13.699072,500
2011-02-09,16.950001,16.959999,16.950001,16.959999,13.937385,1100
2011-02-10,16.910000,16.920000,16.910000,16.920000,13.904516,300
2011-02-11,16.600000,16.600000,16.600000,16.600000,13.641546,600
2011-02-14,16.790001,16.950001,16.790001,16.940001,13.920951,2400
2011-02-15,17.139999,17.139999,17.139999,17.139999,14.085308,300
2011-02-16,17.389999,17.629999,17.340000,17.580000,14.446889,12100
2011-02-17,17.580000,17.580000,17.500000,17.500000,14.381146,800
2011-02-18,17.730000,17.730000,17.400000,17.400000,14.298972,800
2011-02-22,16.600000,16.600000,16.600000,16.600000,13.641546,700
2011-02-23,16.309999,16.309999,16.209999,16.280001,13.378576,1700
2011-02-24,15.800000,15.850000,15.650000,15.850000,13.025210,1500
2011-02-25,15.650000,15.950000,15.650000,15.950000,13.107387,7500
2011-02-28,16.200001,16.650000,16.200001,16.200001,13.312835,1900
2011-03-01,16.000000,16.150000,16.000000,16.150000,13.271747,1800
2011-03-02,15.850000,16.680000,15.810000,15.810000,12.992338,1100
2011-03-03,16.320000,16.900000,16.320000,16.900000,13.888081,1100
2011-03-04,16.160000,16.160000,16.100000,16.100000,13.230657,2600
2011-03-07,15.810000,16.000000,15.810000,16.000000,13.148477,2100
2011-03-08,15.850000,15.850000,15.710000,15.710000,12.910161,1800
2011-03-09,15.520000,15.520000,15.520000,15.520000,12.754023,200
