Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,14.990000,15.185000,14.950000,15.040000,12.240785,2342000
2011-01-04,15.085000,15.235000,14.735000,14.910000,12.179520,2046600
2011-01-05,14.900000,15.425000,14.800000,15.365000,12.551194,3078800
2011-01-06,15.420000,15.905000,15.385000,15.765000,12.877946,3923600
2011-01-07,15.830000,16.160000,15.555000,15.660000,12.792170,2584800
2011-01-10,15.600000,15.830000,15.460000,15.740000,12.857523,3035000
2011-01-11,15.845000,15.895000,15.600000,15.710000,12.833014,2488400
2011-01-12,15.800000,15.860000,15.640000,15.790000,12.898366,1869200
2011-01-13,15.815000,15.855000,15.610000,15.785000,12.894283,1183400
2011-01-14,15.775000,16.245001,15.735000,16.190001,13.225113,2527400
2011-01-18,16.135000,16.360001,15.845000,16.340000,13.347641,3149600
2011-01-19,16.360001,16.514999,15.770000,15.895000,12.984138,2282600
2011-01-20,15.790000,15.980000,15.220000,15.335000,12.526691,2428800
2011-01-21,15.445000,15.725000,15.100000,15.150000,12.375570,2445800
2011-01-24,15.210000,15.335000,15.115000,15.270000,12.473597,2453600
2011-01-25,15.250000,15.425000,15.155000,15.420000,12.596122,1653800
2011-01-26,15.485000,15.845000,15.405000,15.440000,12.612460,2737000
2011-01-27,16.495001,17.674999,15.970000,16.750000,13.682563,10550600
2011-01-28,16.715000,16.764999,15.985000,16.110001,13.159767,2708000
2011-01-31,15.735000,16.215000,15.690000,16.035000,13.098498,2998000
2011-02-01,16.260000,16.485001,15.975000,16.000000,13.069904,3052000
2011-02-02,15.935000,16.070000,15.625000,15.640000,12.775836,2482000
2011-02-03,15.660000,15.810000,15.465000,15.495000,12.657389,2266800
2011-02-04,15.525000,15.600000,15.350000,15.585000,12.730909,2071600
2011-02-07,15.590000,15.745000,15.480000,15.570000,12.718654,1698600
2011-02-08,15.575000,15.855000,15.540000,15.790000,12.898366,1421800
2011-02-09,15.755000,15.990000,15.520000,15.540000,12.694150,1360600
2011-02-10,15.465000,15.920000,15.190000,15.750000,12.865688,1593000
2011-02-11,15.705000,16.290001,15.705000,16.209999,13.241448,1679400
2011-02-14,16.200001,16.379999,16.070000,16.215000,13.245536,1039800
2011-02-15,16.145000,16.250000,15.980000,16.040001,13.102584,808800
2011-02-16,16.115000,16.245001,16.000000,16.105000,13.155679,1375600
2011-02-17,16.065001,16.240000,15.985000,16.165001,13.204693,1377400
2011-02-18,16.215000,16.290001,16.125000,16.165001,13.204693,1072400
2011-02-22,16.100000,16.230000,15.880000,15.885000,12.975966,1784800
2011-02-23,15.900000,15.900000,15.000000,15.395000,12.575704,1968000
2011-02-24,15.395000,15.520000,14.875000,15.210000,12.424580,1867800
2011-02-25,15.330000,15.350000,14.300000,15.325000,12.518521,4787400
2011-02-28,15.455000,15.605000,15.015000,15.140000,12.367401,2184600
