Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,191.520004,195.000000,189.529999,190.190002,145.749374,1085200
2011-01-04,191.259995,191.500000,188.710007,190.039993,145.634338,794400
2011-01-05,190.029999,192.839996,189.250000,192.000000,147.136398,925300
2011-01-06,192.679993,192.789993,188.360001,189.929993,145.550095,727300
2011-01-07,191.520004,191.520004,185.460007,188.360001,144.346939,886200
2011-01-10,188.110001,191.539993,187.429993,191.169998,146.500305,898300
2011-01-11,191.869995,195.679993,190.720001,193.419998,148.224594,734000
2011-01-12,194.699997,195.240005,191.039993,193.839996,148.546432,818100
2011-01-13,193.839996,196.089996,192.490005,195.809998,150.056107,609000
2011-01-14,195.330002,199.100006,193.669998,199.059998,152.546692,808200
2011-01-18,199.309998,199.990005,193.750000,196.520004,150.600281,812000
2011-01-19,195.759995,196.940002,191.000000,191.559998,146.799194,774300
2011-01-20,192.740005,193.009995,189.250000,190.869995,146.270477,806800
2011-01-21,192.460007,194.649994,191.300003,193.070007,147.956345,627400
2011-01-24,194.229996,194.899994,191.309998,193.580002,148.347183,789900
2011-01-25,199.339996,199.869995,194.919998,198.009995,151.742004,1361900
2011-01-26,199.160004,200.830002,196.919998,199.960007,153.236404,1313700
2011-01-27,200.759995,202.059998,198.750000,201.729996,154.592834,729600
2011-01-28,201.380005,201.470001,193.949997,194.279999,148.883621,1041700
2011-01-31,194.600006,198.199997,194.539993,198.020004,151.749695,699800
2011-02-01,199.229996,202.000000,198.500000,201.229996,154.209671,639200
2011-02-02,199.570007,199.990005,197.029999,197.639999,151.458542,778200
2011-02-03,197.000000,197.820007,194.509995,196.820007,150.830124,462100
2011-02-04,197.100006,197.649994,194.059998,194.350006,148.937286,702200
2011-02-07,195.259995,198.500000,195.000000,196.000000,150.201736,808400
2011-02-08,196.779999,199.449997,195.059998,199.369995,152.784302,727600
2011-02-09,198.270004,200.649994,197.259995,199.619995,152.975845,447000
2011-02-10,198.009995,201.589996,198.009995,200.710007,153.811188,486900
2011-02-11,200.009995,203.600006,199.000000,203.419998,155.887909,473000
2011-02-14,203.500000,206.440002,202.589996,205.009995,157.106430,672500
2011-02-15,203.610001,206.000000,202.539993,205.660004,157.604538,457800
2011-02-16,206.029999,207.000000,204.000000,205.339996,157.359329,458200
2011-02-17,205.020004,205.479996,202.800003,204.589996,156.784531,379000
2011-02-18,205.449997,207.470001,202.899994,206.669998,158.378510,516900
2011-02-22,203.410004,204.160004,197.910004,198.410004,152.048553,537500
2011-02-23,199.000000,199.830002,194.380005,195.130005,149.535049,682900
2011-02-24,195.789993,201.440002,193.580002,201.199997,154.186676,832500
2011-02-25,202.990005,204.550003,201.440002,203.919998,156.271103,863900
2011-02-28,203.110001,205.610001,200.509995,203.990005,156.324722,685300
2011-03-01,209.770004,209.770004,200.899994,201.429993,154.362900,748100
2011-03-02,200.729996,202.029999,198.740005,198.850006,152.385788,710100
2011-03-03,199.369995,207.160004,199.210007,207.059998,159.782272,704800
2011-03-04,207.179993,207.440002,201.009995,201.889999,155.792694,537400
2011-03-07,202.500000,203.110001,196.639999,198.240005,152.976120,654600
2011-03-08,199.080002,200.389999,196.850006,198.830002,153.431351,564300
2011-03-09,198.070007,198.779999,195.649994,196.899994,151.942017,552300
2011-03-10,194.380005,196.210007,188.910004,190.380005,146.910782,944700
2011-03-11,190.750000,191.919998,188.320007,189.979996,146.602112,593700
2011-03-14,188.679993,189.179993,185.589996,188.429993,145.405960,584400
2011-03-15,183.289993,186.779999,180.289993,185.699997,143.299332,792200
2011-03-16,185.199997,186.229996,179.520004,179.770004,138.723358,924900
2011-03-17,183.289993,184.539993,181.710007,183.960007,141.956665,675100
2011-03-18,185.279999,186.759995,183.089996,184.550003,142.411911,748500
2011-03-21,185.009995,187.130005,185.000000,186.000000,143.530823,461800
2011-03-22,185.630005,186.339996,184.679993,185.029999,142.782333,509900
2011-03-23,184.779999,185.139999,181.369995,183.699997,141.755981,525700
2011-03-24,183.949997,186.500000,183.949997,185.550003,143.183563,1010400
2011-03-25,186.589996,189.020004,185.550003,188.240005,145.259384,592500
2011-03-28,189.300003,190.679993,187.190002,187.470001,144.665207,570300
2011-03-29,187.259995,187.869995,185.199997,186.500000,143.916656,975700
2011-03-30,196.339996,200.100006,194.880005,198.839996,153.439087,4569000
