Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,8.150000,8.470000,8.070000,8.130000,7.798299,196300
2011-01-04,8.480000,8.620000,8.040000,8.070000,7.740746,187200
2011-01-05,8.030000,8.110000,7.900000,7.900000,7.577682,105300
2011-01-06,7.950000,7.980000,7.600000,7.730000,7.414618,66800
2011-01-07,7.710000,7.710000,7.500000,7.610000,7.299515,67300
2011-01-10,7.550000,7.900000,7.500000,7.570000,7.261147,91300
2011-01-11,7.620000,7.660000,6.820000,6.850000,6.570522,236400
2011-01-12,6.730000,7.120000,6.650000,6.760000,6.484194,251600
2011-01-13,6.790000,7.000000,6.700000,6.800000,6.522563,73600
2011-01-14,6.800000,7.200000,6.800000,7.180000,6.887058,65800
2011-01-18,7.230000,7.350000,7.230000,7.310000,7.011755,53700
2011-01-19,7.300000,7.330000,7.110000,7.240000,6.944610,70600
2011-01-20,7.270000,7.270000,6.910000,6.930000,6.647258,59200
2011-01-21,6.900000,7.090000,6.900000,7.010000,6.723994,40200
2011-01-24,6.990000,7.280000,6.750000,7.240000,6.944610,67100
2011-01-25,7.200000,7.410000,7.150000,7.250000,6.954202,41800
2011-01-26,7.230000,7.320000,7.110000,7.290000,6.992570,32500
2011-01-27,7.300000,7.300000,7.150000,7.150000,6.858283,31600
2011-01-28,7.180000,7.190000,6.840000,7.040000,6.752770,51700
2011-01-31,7.010000,7.040000,6.500000,6.960000,6.676034,108900
2011-02-01,6.940000,7.070000,6.920000,7.030000,6.743178,17100
2011-02-02,7.030000,7.100000,6.910000,7.090000,6.800730,18700
2011-02-03,7.050000,7.120000,6.920000,7.080000,6.791138,24600
2011-02-04,7.050000,7.230000,7.010000,7.200000,6.906242,43400
2011-02-07,7.250000,7.350000,7.250000,7.350000,7.050122,57100
2011-02-08,7.380000,7.590000,7.350000,7.590000,7.280331,44100
2011-02-09,7.630000,7.750000,7.630000,7.680000,7.366658,55000
2011-02-10,7.740000,7.740000,7.650000,7.740000,7.424210,29800
2011-02-11,7.650000,7.690000,7.600000,7.660000,7.347474,53800
2011-02-14,7.550000,7.660000,7.510000,7.630000,7.318698,41100
2011-02-15,7.630000,7.680000,7.580000,7.650000,7.337883,17700
2011-02-16,7.640000,7.700000,7.620000,7.690000,7.376251,43800
2011-02-17,7.670000,7.760000,7.670000,7.760000,7.443395,48400
2011-02-18,7.810000,7.990000,7.760000,7.970000,7.644826,28700
2011-02-22,7.920000,7.980000,7.500000,7.830000,7.510539,75800
2011-02-23,7.790000,7.980000,7.400000,7.430000,7.126858,61300
2011-02-24,7.440000,7.530000,7.150000,7.530000,7.222779,53400
2011-02-25,7.520000,7.800000,7.520000,7.700000,7.385842,27800
2011-02-28,7.760000,7.820000,7.580000,7.790000,7.472170,42000
2011-03-01,7.810000,7.830000,7.560000,7.600000,7.289922,13700
2011-03-02,7.570000,7.580000,7.290000,7.400000,7.098083,26300
2011-03-03,7.440000,7.440000,7.320000,7.340000,7.040531,18300
2011-03-04,7.310000,7.350000,7.110000,7.320000,7.021347,57500
2011-03-07,7.320000,7.340000,7.170000,7.250000,6.954202,57700
2011-03-08,7.270000,7.410000,7.250000,7.270000,6.973386,23100
2011-03-09,7.300000,7.410000,7.290000,7.350000,7.050122,17800
2011-03-10,7.300000,7.340000,7.140000,7.320000,7.021347,46100
2011-03-11,7.260000,7.320000,7.110000,7.260000,6.963795,24300
2011-03-14,7.190000,7.300000,7.160000,7.250000,6.954202,28300
2011-03-15,7.000000,7.190000,6.900000,6.990000,6.704810,62000
2011-03-16,6.990000,7.290000,6.990000,7.030000,6.743178,47300
2011-03-17,7.110000,7.300000,6.900000,7.240000,6.944610,19900
2011-03-18,7.330000,7.350000,7.200000,7.240000,6.944610,13000
2011-03-21,7.290000,7.600000,7.230000,7.590000,7.280331,32300
2011-03-22,7.590000,7.770000,7.590000,7.750000,7.433803,38000
2011-03-23,7.720000,7.770000,7.490000,7.580000,7.270739,43700
2011-03-24,7.590000,7.610000,7.300000,7.450000,7.146042,11000
2011-03-25,7.070000,7.520000,7.030000,7.450000,7.146042,18000
2011-03-28,7.420000,7.550000,7.420000,7.540000,7.232370,34600
2011-03-29,7.500000,7.700000,7.310000,7.680000,7.366658,41000
2011-03-30,7.720000,7.730000,7.410000,7.700000,7.385842,107800
2011-03-31,7.700000,7.790000,7.650000,7.730000,7.414618,63400
2011-04-01,7.740000,7.750000,7.690000,7.730000,7.414618,22300
2011-04-04,7.700000,7.720000,7.670000,7.720000,7.405026,33900
2011-04-05,7.720000,7.800000,7.650000,7.790000,7.472170,18900
2011-04-06,7.790000,7.990000,7.730000,7.990000,7.664011,21900
2011-04-07,7.800000,8.150000,7.800000,8.150000,7.817482,33800
2011-04-08,8.090000,8.110000,7.920000,7.940000,7.616051,19500
2011-04-11,7.970000,7.970000,7.620000,7.750000,7.433803,24800
2011-04-12,7.710000,7.710000,7.450000,7.550000,7.241962,97200
2011-04-13,7.610000,7.660000,7.500000,7.660000,7.347474,12500
2011-04-14,7.550000,7.680000,7.550000,7.670000,7.357067,19000
2011-04-15,7.690000,7.690000,7.530000,7.630000,7.318698,71100
2011-04-18,7.510000,7.580000,7.430000,7.570000,7.261147,56300
2011-04-19,7.600000,7.700000,7.600000,7.670000,7.357067,44200
2011-04-20,7.740000,7.840000,7.660000,7.830000,7.510539,26100
2011-04-21,7.850000,8.040000,7.680000,8.010000,7.683195,71200
2011-04-25,7.990000,8.300000,7.990000,8.240000,7.903811,78300
2011-04-26,8.890000,9.880000,8.760000,9.600000,9.208323,416800
2011-04-27,9.600000,9.970000,9.250000,9.790000,9.390572,170000
2011-04-28,9.730000,9.800000,9.400000,9.750000,9.352203,91000
2011-04-29,9.720000,10.270000,9.700000,9.930000,9.524859,102000
2011-05-02,9.980000,10.130000,9.900000,9.910000,9.505675,100000
2011-05-03,9.890000,10.570000,9.680000,9.870000,9.467307,115000
2011-05-04,9.850000,10.170000,9.520000,9.820000,9.419347,153200
2011-05-05,9.800000,10.160000,9.720000,9.970000,9.563228,73300
2011-05-06,10.010000,10.110000,9.820000,10.090000,9.678331,55000
2011-05-09,10.090000,10.610000,10.000000,10.550000,10.119564,93000
2011-05-10,10.600000,11.330000,10.360000,11.270000,10.810188,295500
2011-05-11,11.370000,11.860000,10.570000,10.790000,10.349771,209100
2011-05-12,10.750000,11.360000,10.200000,11.260000,10.800596,349000
2011-05-13,11.370000,11.370000,11.000000,11.130000,10.675900,76000
2011-05-16,11.010000,11.190000,10.850000,10.970000,10.522428,102900
2011-05-17,11.170000,11.310000,10.950000,11.000000,10.551204,81500
2011-05-18,10.880000,11.290000,10.630000,11.280000,10.819779,169100
2011-05-19,11.340000,11.650000,11.130000,11.540000,11.069172,112700
2011-05-20,11.560000,11.690000,11.490000,11.690000,11.213052,118400
2011-05-23,11.550000,11.570000,11.280000,11.410000,10.944475,83700
2011-05-24,11.410000,11.750000,11.000000,11.710000,11.232236,119600
2011-05-25,11.660000,12.680000,11.610000,12.670000,12.153069,179100
2011-05-26,12.700000,13.580000,12.110000,12.230000,11.731020,240000
2011-05-27,12.230000,12.600000,12.230000,12.490000,11.980412,94200
2011-05-31,12.650000,12.930000,12.340000,12.750000,12.229804,270100
2011-06-01,12.800000,12.920000,12.560000,12.610000,12.095516,89000
2011-06-02,12.650000,12.920000,12.630000,12.700000,12.181844,62400
2011-06-03,12.530000,13.020000,12.530000,13.000000,12.469604,128000
2011-06-06,13.000000,13.200000,12.600000,12.730000,12.210620,103600
2011-06-07,12.760000,13.040000,12.760000,12.820000,12.296947,59900
2011-06-08,12.820000,13.000000,12.200000,12.510000,11.999597,156300
2011-06-09,12.550000,12.760000,12.090000,12.510000,11.999597,95700
2011-06-10,12.500000,12.680000,12.340000,12.500000,11.990004,131500
2011-06-13,12.470000,12.750000,12.300000,12.430000,11.922860,300200
2011-06-14,12.500000,12.690000,12.250000,12.490000,11.980412,88000
2011-06-15,12.380000,12.500000,11.870000,12.170000,11.673468,107500
2011-06-16,12.120000,12.310000,11.720000,11.940000,11.452851,136500
2011-06-17,11.980000,12.050000,11.590000,11.970000,11.481628,113900
2011-06-20,11.920000,12.190000,11.800000,12.170000,11.673468,78500
2011-06-21,12.090000,12.090000,10.350000,11.210000,10.752636,481700
2011-06-22,11.100000,11.420000,10.840000,11.200000,10.743044,244600
2011-06-23,11.080000,11.740000,10.810000,11.380000,10.915700,144000
2011-06-24,11.380000,11.730000,11.120000,11.450000,10.982843,2252800
2011-06-27,11.520000,11.990000,11.310000,11.890000,11.404892,139000
2011-06-28,11.900000,12.870000,11.900000,12.850000,12.325725,145800
2011-06-29,12.840000,13.350000,12.840000,13.260000,12.718996,198100
2011-06-30,13.300000,13.410000,13.080000,13.270000,12.728589,119000
2011-07-01,13.280000,14.310000,13.130000,14.260000,13.678197,159600
2011-07-05,14.290000,14.600000,13.880000,14.130000,13.553501,172300
2011-07-06,14.130000,14.390000,13.900000,14.370000,13.783709,124300
2011-07-07,14.490000,14.850000,14.100000,14.150000,13.572684,191300
2011-07-08,13.910000,14.160000,13.710000,14.070000,13.495948,128500
2011-07-11,13.960000,13.980000,13.560000,13.800000,13.236964,78900
2011-07-12,13.790000,13.940000,13.550000,13.730000,13.169820,80600
2011-07-13,13.790000,14.100000,13.790000,14.040000,13.467173,143100
2011-07-14,14.050000,14.100000,13.290000,13.350000,12.805325,105000
2011-07-15,13.450000,13.590000,13.100000,13.230000,12.690220,81800
2011-07-18,13.080000,13.510000,12.840000,13.370000,12.824509,116800
2011-07-19,13.390000,13.960000,13.390000,13.800000,13.236964,137200
2011-07-20,13.880000,13.880000,13.630000,13.690000,13.131452,75700
2011-07-21,13.730000,14.100000,13.580000,13.980000,13.409620,95600
2011-07-22,13.990000,14.000000,13.750000,13.770000,13.208189,82500
2011-07-25,13.580000,13.850000,13.430000,13.670000,13.112268,98200
2011-07-26,13.720000,14.320000,13.710000,13.950000,13.380844,112600
2011-07-27,13.930000,14.100000,13.490000,13.650000,13.093084,193600
2011-07-28,13.680000,14.100000,13.640000,13.920000,13.352069,80100
2011-07-29,13.770000,13.770000,13.460000,13.540000,12.987573,132100
2011-08-01,13.850000,13.910000,13.370000,13.690000,13.131452,179100
2011-08-02,13.600000,13.840000,12.530000,12.940000,12.412052,134100
2011-08-03,12.940000,13.320000,12.400000,13.220000,12.680629,154100
2011-08-04,13.100000,13.250000,12.380000,12.390000,11.884492,104800
2011-08-05,12.520000,12.570000,11.610000,11.930000,11.443260,195200
2011-08-08,11.250000,11.840000,10.680000,10.720000,10.282628,137200
2011-08-09,10.900000,11.090000,10.000000,10.930000,10.484060,210200
2011-08-10,10.620000,10.770000,10.150000,10.330000,9.908539,139900
2011-08-11,10.410000,11.420000,10.140000,11.100000,10.647124,200000
2011-08-12,11.230000,11.230000,10.830000,10.910000,10.464875,71500
2011-08-15,11.000000,12.180000,10.950000,12.060000,11.567956,163600
2011-08-16,11.930000,12.160000,11.790000,11.960000,11.472036,168900
2011-08-17,12.000000,12.280000,11.710000,12.120000,11.625507,92800
2011-08-18,11.700000,11.780000,11.330000,11.420000,10.954068,82900
2011-08-19,11.200000,11.960000,10.990000,11.380000,10.915700,62700
2011-08-22,11.660000,11.670000,11.070000,11.140000,10.685492,36500
2011-08-23,11.200000,11.940000,11.170000,11.900000,11.414483,124200
2011-08-24,11.900000,12.440000,11.500000,11.970000,11.481628,95100
2011-08-25,12.120000,12.120000,11.390000,11.550000,11.078764,48100
2011-08-26,11.460000,12.190000,11.130000,12.180000,11.683061,171300
2011-08-29,12.280000,12.580000,11.940000,12.570000,12.057148,48900
2011-08-30,12.470000,12.500000,12.250000,12.420000,11.913268,68600
2011-08-31,12.490000,12.740000,12.250000,12.410000,11.903676,125900
2011-09-01,12.430000,12.640000,12.010000,12.380000,11.874900,92900
2011-09-02,12.070000,12.510000,11.280000,11.310000,10.848557,82600
2011-09-06,10.940000,11.750000,10.920000,11.580000,11.107540,97400
2011-09-07,11.810000,12.350000,11.790000,12.240000,11.740612,54900
2011-09-08,12.220000,12.370000,12.100000,12.230000,11.731020,55300
2011-09-09,12.100000,12.120000,11.900000,11.930000,11.443260,70200
2011-09-12,11.750000,12.040000,11.650000,11.950000,11.462443,42400
2011-09-13,12.010000,12.550000,11.840000,12.460000,11.951636,69100
2011-09-14,12.550000,12.700000,12.150000,12.290000,11.788572,71100
2011-09-15,12.380000,12.390000,11.910000,12.260000,11.759796,89000
2011-09-16,12.380000,12.760000,12.330000,12.690000,12.172252,138200
2011-09-19,12.610000,12.850000,12.390000,12.550000,12.037964,65400
2011-09-20,12.620000,12.740000,12.430000,12.460000,11.951636,63100
2011-09-21,12.500000,12.500000,11.880000,12.000000,11.510404,73300
2011-09-22,11.550000,11.860000,11.010000,11.180000,10.723860,151700
2011-09-23,11.210000,11.780000,11.020000,11.580000,11.107540,124000
2011-09-26,11.670000,11.970000,11.450000,11.700000,11.222644,139000
2011-09-27,12.040000,12.290000,11.700000,12.080000,11.587140,92000
2011-09-28,12.100000,12.220000,11.950000,11.990000,11.500812,164500
2011-09-29,12.330000,12.540000,12.120000,12.500000,11.990004,143300
2011-09-30,12.280000,13.240000,12.250000,12.830000,12.306540,137900
2011-10-03,12.700000,12.710000,11.470000,11.470000,11.002028,113500
2011-10-04,11.370000,12.650000,11.250000,12.630000,12.114700,126700
