Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,65.220001,66.680000,65.139999,65.599998,44.173367,373600
2011-01-04,65.650002,65.980003,63.680000,64.239998,43.257591,499100
2011-01-05,64.300003,66.180000,64.300003,65.260002,43.944431,547900
2011-01-06,63.290001,63.340000,60.450001,61.570000,41.459679,1966200
2011-01-07,60.349998,62.610001,60.009998,60.669998,41.000145,743500
2011-01-10,60.299999,61.470001,59.830002,61.279999,41.412373,590500
2011-01-11,61.509998,61.509998,60.439999,61.000000,41.223156,425000
2011-01-12,61.290001,61.369999,60.400002,60.680000,41.006901,511000
2011-01-13,60.570000,60.680000,59.840000,60.220001,40.696030,489000
2011-01-14,60.009998,60.419998,59.810001,60.400002,40.817688,364600
2011-01-18,60.189999,60.820000,59.869999,60.820000,41.101513,392700
2011-01-19,60.650002,60.700001,59.610001,59.740002,40.371662,298900
2011-01-20,59.689999,60.330002,59.320000,59.980000,40.533844,379500
2011-01-21,60.270000,60.270000,59.610001,59.660000,40.317585,185300
2011-01-24,59.680000,60.000000,59.389999,59.830002,40.432480,285600
2011-01-25,59.459999,59.630001,58.520000,59.340000,40.101334,364000
2011-01-26,59.549999,60.099998,59.090000,60.000000,40.547359,230400
2011-01-27,59.900002,60.080002,59.419998,59.630001,40.297325,276700
2011-01-28,59.650002,59.830002,58.139999,58.570000,39.580986,276400
2011-01-31,58.660000,59.540001,58.639999,59.430000,40.162170,309600
2011-02-01,59.930000,61.160000,59.820000,61.070000,41.270458,783000
2011-02-02,60.849998,61.090000,60.150002,60.360001,40.790642,325700
2011-02-03,60.200001,61.240002,60.070000,60.830002,41.108269,226100
2011-02-04,60.950001,61.290001,60.650002,61.000000,41.223156,145000
2011-02-07,61.049999,61.630001,60.959999,61.290001,41.419144,177700
2011-02-08,61.220001,61.889999,61.029999,61.849998,41.797581,94100
2011-02-09,61.610001,62.209999,61.410000,61.869999,41.811089,162400
2011-02-10,61.619999,62.349998,61.380001,62.180000,42.020588,101500
2011-02-11,61.869999,62.720001,61.840000,62.669998,42.351723,110400
2011-02-14,62.730000,63.080002,62.259998,62.639999,42.331444,175600
2011-02-15,62.360001,62.779999,62.070000,62.410000,42.176014,191100
2011-02-16,62.660000,63.730000,62.590000,63.270000,42.757202,273200
2011-02-17,63.150002,63.910000,63.150002,63.770000,43.095093,172300
2011-02-18,63.900002,64.220001,63.410000,64.220001,43.399197,195900
2011-02-22,63.500000,64.160004,62.650002,62.830002,42.459843,235300
2011-02-23,62.740002,62.759998,60.419998,61.500000,41.561047,357000
2011-02-24,61.450001,62.349998,61.340000,61.970001,41.878658,272700
2011-02-25,62.310001,62.930000,62.290001,62.919998,42.520668,182200
2011-02-28,63.320000,63.849998,62.730000,63.189999,42.703133,337700
2011-03-01,63.480000,63.480000,61.419998,61.459999,41.534019,302200
2011-03-02,61.360001,62.529999,61.320000,62.020000,41.912453,223100
2011-03-03,62.689999,64.459999,62.669998,64.160004,43.358646,226900
2011-03-04,64.180000,64.570000,62.919998,63.470001,42.892349,156700
2011-03-07,63.779999,64.070000,62.419998,63.189999,42.703133,245100
2011-03-08,63.250000,64.660004,62.990002,64.260002,43.426224,124200
2011-03-09,64.019997,64.699997,63.619999,64.419998,43.534348,173800
2011-03-10,63.590000,64.260002,63.169998,63.910000,43.189705,218900
2011-03-11,63.650002,64.290001,63.290001,64.059998,43.291069,130100
2011-03-14,63.549999,64.070000,62.959999,63.430000,42.865322,122800
2011-03-15,61.590000,63.450001,61.590000,62.990002,42.567978,153100
2011-03-16,62.639999,63.689999,62.340000,63.090000,42.635544,235900
2011-03-17,63.990002,64.669998,63.549999,63.820000,43.128880,261300
2011-03-18,64.610001,64.750000,64.029999,64.180000,43.372158,250300
2011-03-21,65.029999,66.129997,65.019997,65.589996,44.325027,160800
2011-03-22,65.570000,65.570000,64.580002,64.699997,43.723572,147000
2011-03-23,64.540001,64.580002,63.430000,63.790001,43.108620,431700
2011-03-24,64.120003,64.250000,63.340000,63.610001,42.986958,625000
2011-03-25,63.790001,64.980003,63.439999,64.620003,43.669521,282600
2011-03-28,64.879997,65.480003,64.800003,65.019997,43.939823,278000
2011-03-29,64.900002,66.809998,64.629997,66.720001,45.088673,307900
2011-03-30,66.889999,67.699997,66.690002,67.160004,45.386013,210300
2011-03-31,67.110001,68.529999,67.110001,68.470001,46.271313,277000
2011-04-01,68.900002,69.760002,68.599998,69.480003,46.953846,295900
2011-04-04,69.620003,70.370003,69.339996,70.269997,47.487724,379100
2011-04-05,69.989998,70.680000,69.809998,70.500000,47.643154,495200
2011-04-06,76.029999,79.220001,74.110001,75.040001,50.711250,1940100
2011-04-07,73.599998,74.779999,72.680000,72.940002,49.292080,653200
2011-04-08,72.849998,73.739998,71.199997,71.900002,48.736256,443800
2011-04-11,71.959999,72.550003,71.180000,71.570000,48.512573,354000
2011-04-12,71.150002,71.339996,70.239998,70.540001,47.814407,323000
2011-04-13,70.959999,71.389999,69.709999,70.519997,47.800850,254200
2011-04-14,69.860001,70.510002,69.570000,70.220001,47.597511,166500
2011-04-15,70.300003,70.959999,69.919998,70.760002,47.963520,303900
2011-04-18,69.860001,70.510002,69.639999,69.989998,47.441597,415800
2011-04-19,70.339996,70.599998,69.699997,69.849998,47.346687,262400
2011-04-20,70.699997,71.260002,70.320000,71.220001,48.275333,353400
2011-04-21,71.379997,72.099998,71.239998,71.629997,48.553238,317300
2011-04-25,71.430000,71.760002,70.559998,70.720001,47.936401,192200
2011-04-26,71.000000,71.589996,70.809998,71.349998,48.363441,231400
2011-04-27,71.419998,72.080002,71.019997,72.000000,48.804031,385100
2011-04-28,71.769997,72.199997,71.709999,71.930000,48.756592,162700
2011-04-29,72.519997,73.300003,71.519997,71.589996,48.526127,309000
2011-05-02,72.190002,72.400002,71.269997,71.709999,48.607456,258000
2011-05-03,71.489998,71.730003,70.419998,71.000000,48.126198,145000
2011-05-04,70.970001,71.080002,69.699997,70.500000,47.787292,199000
2011-05-05,70.019997,71.190002,69.839996,70.500000,47.787292,309500
2011-05-06,71.349998,71.349998,70.220001,70.620003,47.868618,260800
2011-05-09,70.510002,71.150002,70.260002,70.870003,48.038086,221000
2011-05-10,71.139999,71.660004,70.989998,71.599998,48.532906,319800
2011-05-11,71.169998,71.440002,70.040001,70.580002,47.841511,118500
2011-05-12,70.220001,71.019997,70.000000,70.779999,47.977077,284000
2011-05-13,70.879997,71.230003,70.419998,70.500000,47.787292,340900
2011-05-16,70.320000,70.720001,70.139999,70.500000,47.787292,321700
2011-05-17,69.820000,70.400002,68.720001,69.010002,46.777309,279000
2011-05-18,69.269997,70.389999,69.080002,70.209999,47.590721,88000
2011-05-19,70.620003,70.730003,69.269997,69.680000,47.231461,196800
2011-05-20,69.580002,69.730003,68.309998,68.949997,46.736645,262200
2011-05-23,67.610001,67.809998,67.099998,67.449997,45.719887,285600
2011-05-24,67.809998,68.309998,67.519997,67.919998,46.038460,189100
2011-05-25,67.779999,68.809998,67.599998,68.639999,46.526535,129700
2011-05-26,68.250000,69.330002,68.220001,69.139999,46.865425,123300
2011-05-27,69.480003,69.480003,68.940002,69.059998,46.811214,139200
2011-05-31,69.790001,69.790001,68.489998,69.510002,47.116238,221500
2011-06-01,68.910004,69.589996,67.370003,67.440002,45.713120,277900
2011-06-02,67.519997,68.050003,66.959999,67.430000,45.706333,166700
2011-06-03,66.430000,67.669998,66.379997,67.300003,45.618225,267600
2011-06-06,67.220001,67.449997,66.339996,66.620003,45.157288,246400
2011-06-07,67.099998,67.139999,66.629997,66.930000,45.367416,282200
2011-06-08,66.650002,66.660004,65.680000,65.790001,44.594688,196800
2011-06-09,65.949997,66.080002,65.500000,65.889999,44.662476,299100
2011-06-10,65.589996,65.790001,64.660004,64.760002,43.896523,130000
2011-06-13,64.680000,65.160004,64.419998,64.699997,43.855843,197900
2011-06-14,65.180000,66.519997,65.070000,66.440002,45.035275,191200
2011-06-15,65.309998,66.150002,64.269997,64.330002,43.605061,246400
2011-06-16,64.269997,64.690002,63.930000,64.360001,43.625393,322000
2011-06-17,64.800003,65.019997,64.269997,64.489998,43.713509,412100
2011-06-20,64.339996,65.300003,64.339996,65.180000,44.181213,334000
2011-06-21,65.400002,66.190002,65.279999,66.050003,44.770931,377100
2011-06-22,65.820000,66.150002,65.470001,65.480003,44.384563,490200
2011-06-23,64.709999,65.550003,64.190002,65.050003,44.093090,488200
2011-06-24,65.260002,66.080002,64.809998,65.169998,44.174423,373800
2011-06-27,65.139999,65.620003,64.690002,65.190002,44.187988,295900
2011-06-28,65.540001,67.120003,65.400002,66.889999,45.340317,281900
2011-06-29,67.239998,68.360001,66.830002,68.099998,46.160480,630500
2011-06-30,65.870003,67.959999,64.150002,66.309998,44.947159,1460300
2011-07-01,66.339996,69.870003,65.720001,69.300003,46.973881,618500
2011-07-05,69.330002,69.669998,68.690002,69.300003,46.973881,271500
2011-07-06,69.290001,69.940002,69.089996,69.750000,47.278904,195700
2011-07-07,70.230003,71.830002,70.199997,70.480003,47.773735,557000
2011-07-08,69.500000,70.050003,68.809998,69.500000,47.256958,453600
