Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,6.980000,7.200000,6.600000,6.770000,6.770000,7500
2011-01-04,7.020000,7.100000,7.020000,7.100000,7.100000,700
2011-01-05,7.040000,7.040000,6.850000,6.850000,6.850000,1100
2011-01-06,6.720000,6.770000,6.710000,6.770000,6.770000,500
2011-01-07,6.770000,6.770000,6.770000,6.770000,6.770000,0
2011-01-10,6.510000,6.510000,6.500000,6.500000,6.500000,400
2011-01-11,6.400000,6.400000,6.080000,6.090000,6.090000,3600
2011-01-12,6.000000,6.150000,6.000000,6.070000,6.070000,600
2011-01-13,6.070000,6.070000,6.070000,6.070000,6.070000,0
2011-01-14,6.070000,6.070000,6.070000,6.070000,6.070000,0
2011-01-18,6.210000,6.250000,6.210000,6.240000,6.240000,1300
2011-01-19,6.240000,6.240000,6.240000,6.240000,6.240000,0
2011-01-20,6.110000,6.110000,5.750000,5.880000,5.880000,3300
2011-01-21,5.990000,5.990000,5.990000,5.990000,5.990000,300
2011-01-24,5.920000,5.920000,5.390000,5.650000,5.650000,5000
2011-01-25,5.740000,5.940000,5.740000,5.900000,5.900000,3300
2011-01-26,6.010000,6.010000,5.910000,5.910000,5.910000,1500
2011-01-27,5.800000,5.800000,5.660000,5.700000,5.700000,1800
2011-01-28,5.580000,5.580000,5.130000,5.150000,5.150000,10100
2011-01-31,5.100000,5.280000,5.000000,5.000000,5.000000,7700
2011-02-01,5.010000,5.020000,4.370000,4.400000,4.400000,17400
2011-02-02,4.350000,4.640000,4.300000,4.300000,4.300000,7800
2011-02-03,4.300000,5.500000,4.300000,5.100000,5.100000,68600
2011-02-04,5.450000,5.500000,5.050000,5.080000,5.080000,18500
2011-02-07,5.190000,5.190000,4.600000,4.740000,4.740000,14800
2011-02-08,4.700000,5.200000,4.460000,4.970000,4.970000,33600
2011-02-09,5.060000,5.150000,4.510000,4.520000,4.520000,10700
2011-02-10,4.610000,5.490000,4.520000,5.250000,5.250000,27800
2011-02-11,5.330000,5.330000,4.030000,4.190000,4.190000,62000
2011-02-14,4.690000,4.690000,3.790000,3.800000,3.800000,44800
2011-02-15,3.700000,3.730000,3.520000,3.610000,3.610000,12900
2011-02-16,3.650000,3.680000,3.350000,3.470000,3.470000,32900
2011-02-17,3.390000,3.750000,3.260000,3.620000,3.620000,72000
2011-02-18,3.650000,4.690000,3.650000,4.470000,4.470000,55100
2011-02-22,4.470000,4.670000,4.290000,4.350000,4.350000,32900
2011-02-23,4.400000,4.400000,3.850000,3.950000,3.950000,27300
2011-02-24,4.200000,4.280000,3.950000,4.010000,4.010000,6300
2011-02-25,4.030000,4.350000,4.020000,4.100000,4.100000,8000
2011-02-28,4.230000,4.350000,4.160000,4.170000,4.170000,8900
2011-03-01,4.220000,4.400000,4.180000,4.350000,4.350000,12200
2011-03-02,4.350000,4.640000,4.200000,4.220000,4.220000,10400
2011-03-03,4.240000,4.240000,4.180000,4.180000,4.180000,4600
2011-03-04,4.170000,4.170000,4.100000,4.100000,4.100000,1100
2011-03-07,4.060000,4.160000,3.990000,4.000000,4.000000,6700
2011-03-08,3.910000,3.930000,3.900000,3.920000,3.920000,5600
2011-03-09,3.910000,3.910000,3.910000,3.910000,3.910000,600
2011-03-10,4.010000,4.010000,3.910000,3.910000,3.910000,1400
2011-03-11,3.920000,4.000000,3.920000,3.950000,3.950000,2400
2011-03-14,3.980000,3.980000,3.780000,3.780000,3.780000,1700
2011-03-15,3.810000,3.860000,3.810000,3.850000,3.850000,400
2011-03-16,3.780000,3.780000,3.610000,3.620000,3.620000,2500
2011-03-17,3.500000,3.800000,3.500000,3.710000,3.710000,4500
2011-03-18,3.710000,3.710000,3.710000,3.710000,3.710000,0
2011-03-21,3.640000,3.830000,3.640000,3.830000,3.830000,1500
2011-03-22,3.950000,4.000000,3.780000,4.000000,4.000000,1000
2011-03-23,3.890000,3.890000,3.730000,3.730000,3.730000,1200
2011-03-24,3.820000,3.820000,3.690000,3.690000,3.690000,2800
2011-03-25,3.650000,3.680000,3.500000,3.680000,3.680000,7200
2011-03-28,3.620000,3.690000,3.530000,3.550000,3.550000,3800
2011-03-29,3.500000,3.500000,3.500000,3.500000,3.500000,2100
2011-03-30,3.550000,3.730000,3.550000,3.600000,3.600000,2300
2011-03-31,3.600000,3.600000,3.550000,3.550000,3.550000,1400
2011-04-01,3.640000,3.840000,3.640000,3.840000,3.840000,3100
2011-04-04,3.640000,3.880000,3.640000,3.750000,3.750000,3700
2011-04-05,3.870000,3.870000,3.860000,3.860000,3.860000,400
2011-04-06,3.880000,4.340000,3.880000,4.000000,4.000000,8000
2011-04-07,3.910000,4.150000,3.900000,3.950000,3.950000,8700
2011-04-08,3.900000,4.050000,3.900000,3.910000,3.910000,5700
2011-04-11,3.790000,3.790000,3.720000,3.720000,3.720000,700
2011-04-12,3.550000,3.640000,3.550000,3.640000,3.640000,2600
2011-04-13,3.600000,3.640000,3.600000,3.640000,3.640000,2700
2011-04-14,3.600000,3.600000,3.550000,3.550000,3.550000,800
2011-04-15,3.550000,3.550000,3.460000,3.510000,3.510000,3400
2011-04-18,3.510000,3.510000,3.510000,3.510000,3.510000,0
2011-04-19,3.510000,3.580000,3.510000,3.580000,3.580000,400
2011-04-20,3.480000,3.480000,3.330000,3.360000,3.360000,3300
2011-04-21,3.360000,3.360000,3.350000,3.350000,3.350000,400
2011-04-25,3.400000,3.400000,3.400000,3.400000,3.400000,1100
2011-04-26,3.400000,3.400000,3.310000,3.310000,3.310000,2300
2011-04-27,3.260000,3.280000,3.260000,3.280000,3.280000,400
2011-04-28,3.260000,3.260000,3.010000,3.100000,3.100000,11000
2011-04-29,3.110000,3.220000,3.110000,3.180000,3.180000,3000
2011-05-02,3.270000,3.270000,3.250000,3.270000,3.270000,600
2011-05-03,3.360000,3.400000,3.360000,3.380000,3.380000,1600
2011-05-04,3.400000,3.400000,3.350000,3.350000,3.350000,700
2011-05-05,3.200000,3.200000,3.200000,3.200000,3.200000,200
2011-05-06,3.210000,3.260000,3.210000,3.260000,3.260000,400
2011-05-09,3.260000,3.260000,3.010000,3.010000,3.010000,4900
2011-05-10,3.020000,3.060000,3.010000,3.060000,3.060000,3600
2011-05-11,3.120000,3.120000,3.080000,3.080000,3.080000,1500
2011-05-12,3.040000,3.040000,3.040000,3.040000,3.040000,2000
2011-05-13,3.040000,3.110000,3.040000,3.040000,3.040000,1400
2011-05-16,2.960000,3.060000,2.960000,3.060000,3.060000,500
2011-05-17,3.110000,3.110000,3.100000,3.110000,3.110000,2100
2011-05-18,3.000000,3.000000,3.000000,3.000000,3.000000,800
