Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,51.910000,52.150002,51.459999,51.630001,43.719105,2413800
2011-01-04,51.630001,52.189999,51.349998,51.470001,43.583614,2932100
2011-01-05,51.220001,51.400002,50.740002,50.759998,42.982410,3414100
2011-01-06,50.790001,51.180000,50.480000,50.619999,42.863857,2880000
2011-01-07,50.959999,51.090000,50.419998,50.500000,42.762241,3571200
2011-01-10,50.259998,50.680000,50.070000,50.410000,42.686035,2706300
2011-01-11,50.549999,50.799999,50.220001,50.470001,42.736839,3395900
2011-01-12,50.669998,50.840000,50.520000,50.700001,42.931602,2359300
2011-01-13,50.869999,51.560001,50.619999,50.750000,42.973938,2899700
2011-01-14,50.580002,50.830002,49.770000,49.849998,42.211834,2748800
2011-01-18,49.919998,50.220001,49.330002,49.490002,41.907009,3676400
2011-01-19,49.200001,49.369999,48.779999,49.180000,41.644489,3377000
2011-01-20,49.049999,50.529999,48.939999,50.320000,42.609825,3968100
2011-01-21,50.639999,50.970001,50.380001,50.520000,42.779179,2847200
2011-01-24,50.470001,51.009998,50.340000,51.009998,43.194092,2027900
2011-01-25,50.860001,51.840000,50.259998,51.369999,43.498932,5074300
2011-01-26,51.779999,52.240002,51.400002,51.939999,43.981602,3728500
2011-01-27,52.049999,52.160000,51.560001,52.000000,44.032410,2179900
2011-01-28,51.959999,52.480000,51.169998,51.320000,43.456608,2253000
2011-01-31,51.270000,51.540001,50.730000,50.860001,43.067089,2014700
2011-02-01,51.080002,51.900002,51.049999,51.779999,43.846111,1976100
2011-02-02,51.610001,52.110001,51.610001,51.910000,43.956196,1849000
2011-02-03,51.759998,52.779999,51.610001,52.680000,44.608227,2182300
2011-02-04,52.740002,53.799999,52.709999,53.590000,45.378784,3106600
2011-02-07,53.959999,54.189999,53.529999,53.660000,45.438061,2418200
2011-02-08,53.660000,54.299999,53.660000,54.279999,45.963055,1968000
2011-02-09,54.299999,54.740002,54.139999,54.590000,46.225567,1985500
2011-02-10,54.430000,55.080002,54.259998,55.000000,46.572742,1950800
2011-02-11,54.900002,56.750000,54.779999,56.730000,48.037670,3888100
2011-02-14,56.630001,56.840000,55.869999,56.009998,47.427982,2917700
2011-02-15,55.930000,56.209999,55.500000,55.810001,47.258633,2203700
2011-02-16,56.060001,56.480000,55.430000,55.619999,47.097748,2106500
2011-02-17,55.580002,55.779999,54.439999,54.650002,46.276371,2899200
2011-02-18,54.759998,54.910000,53.509998,54.259998,45.946129,4283400
2011-02-22,53.810001,54.590000,52.750000,52.980000,44.862251,3503800
2011-02-23,53.000000,53.759998,51.320000,51.849998,43.905396,5550700
2011-02-24,52.000000,52.939999,51.849998,52.849998,44.752174,3610400
2011-02-25,52.990002,53.799999,52.630001,53.759998,45.522736,3290800
2011-02-28,53.860001,54.000000,53.410000,53.959999,45.692089,3104100
2011-03-01,53.990002,54.119999,52.700001,52.720001,44.642097,3086800
2011-03-02,52.709999,53.119999,51.820000,52.279999,44.269505,2786600
2011-03-03,52.680000,53.450001,52.660000,53.330002,45.158634,2273400
2011-03-04,53.259998,53.330002,52.650002,53.070000,44.938454,1639800
2011-03-07,53.110001,53.720001,53.060001,53.080002,44.946926,3380100
2011-03-08,52.220001,52.560001,50.880001,52.119999,44.134022,5050900
2011-03-09,52.110001,52.389999,51.669998,52.189999,44.193298,2198300
2011-03-10,51.580002,51.580002,50.570000,50.779999,42.999348,3666600
2011-03-11,50.450001,50.900002,50.400002,50.810001,43.024742,5496900
